ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΞΑΦΟΣ ΑΘΑΝΑΣΙΟΣ του Αγγελου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενέλαου,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΓΑΛΛΟΥ-ΔΑΛΚΑΦΟΥΚΗ ΧΡΥΣΑΝΘΗ του Αθανασίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέως,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΩΣΤΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΜΙΣΙΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΜΠΑΜΠΟΥΡΔΑ ΠΑΝΑΓΙΩΤΑ του Αγγελή,ΠΑΡΔΑΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,ΤΣΕΚΟΥΡΑ ΑΓΓΕΛΙΚΗ του Νικολάου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΦΩΤΕΙΝΗ του Θεόφιλου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΝΤΙΝΤΗ ΧΡΙΣΤΟΥΛΑ (ΧΡΥΣΑ) του Κωνσταντίνου,ΠΑΠΑΕΥΘΥΜΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΦΑΜΙΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σωτηρίου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΠΕΤΡΑΚΗ ΕΙΡΗΝΗ του Αντωνίου,Ένωση Κεντρώων,ΑΚΡΙΒΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΕΚΟΥΤΣΙΔΗ ΜΑΡΙΑ του Σαββελίου,ΜΑΝΤΖΑΝΑ ΒΑΣΙΛΙΚΗ του Αχιλλέα,ΜΗΤΣΙΟΣ ΜΑΡΙΟΣ του Ναπολέοντος,ΣΑΡΤΑΜΠΑΚΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΔΡΑΓΟΥΤΑ ΜΑΡΙΑ του Παύλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΣΑΒΒΟΥΛΙΔΗ ΣΟΥΛΤΑΝΑ του Ευαγγέλου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,ΤΣΟΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΓΚΟΥΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΑΝΑΓΟΥ ΚΩΝΣΤΑΝΤΙΑ του Στυλιανού,ΠΙΝΙΑΡΑ ΑΓΓΕΛΙΚΗ του Αθανασίου,ΣΒΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΣΤΑΣΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΖΑΝΑΚΗΣ ΦΙΛΙΠΠΟΣ του Ιωάννη,ΚΑΝΤΑΚΟΥ ΑΝΔΡΟΜΑΧΗ του Φωτίου,Λαϊκή Ενότητα,ΧΟΝΔΡΟΥΛΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΠΑΝΤΑΖΩΝΗ ΦΩΤΕΙΝΗ (ΦΕΝΙΑ) του Φωκίωνος,ΤΡΙΑΝΤΑΦΥΛΛΟΣ ΝΙΚΟΛΑΟΣ του Θαλή,ΧΟΥΤΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΜΠΑΡΤΖΙΩΚΑΣ ΑΘΑΝΑΣΙΟΣ του Γρηγορίου,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,220 E.T. Δήμου Τρικκαίων,534,363,1,1,2,361,108,20,7,33,30,6,16,149,49,15,32,25,78,29,5,2,0,0,1,1,33,6,12,3,6,15,5,23,13,16,0,0,2,3,5,1,2,1,1,0,0,0,3,0,0,0,1,0,0,0,10,4,1,0,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,10,1,0,2,2,9,2,0,3,1,4,0
24 - Τρικάλων,221 E.T. Δήμου Τρικκαίων,536,366,2,2,4,362,105,33,11,39,75,6,14,156,41,15,60,25,79,41,8,1,4,1,2,3,30,5,13,2,3,25,1,23,8,11,4,0,3,4,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,10,4,1,0,3,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,12,2,1,1,0,5,0,1,1,1,8,7
24 - Τρικάλων,222 E.T. Δήμου Τρικκαίων,568,390,4,1,5,385,117,32,12,44,36,2,12,168,47,15,35,27,87,48,4,2,1,1,0,2,36,9,12,2,6,15,6,26,13,15,1,0,4,1,0,0,0,0,0,0,1,1,5,3,2,0,1,0,0,0,7,0,1,2,1,0,0,1,1,0,0,1,0,0,0,1,1,1,2,1,12,4,2,1,3,3,0,0,3,0,2,2
24 - Τρικάλων,223 E.T. Δήμου Τρικκαίων,570,401,2,3,5,396,135,26,6,44,49,10,13,166,41,14,27,43,99,44,2,1,1,0,1,1,41,2,15,2,16,14,5,19,13,11,0,2,2,4,3,3,1,1,0,0,0,0,2,1,1,0,0,1,1,0,9,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,2,1,5,2,0,3,0,3,1
24 - Τρικάλων,224 E.T. Δήμου Τρικκαίων,537,375,3,3,6,369,118,35,17,40,34,8,8,157,36,14,32,33,81,39,5,2,1,0,1,2,24,4,9,0,3,10,4,26,11,12,2,2,8,3,5,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,7,2,1,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,14,3,2,2,2,4,1,0,2,0,5,3
24 - Τρικάλων,225 E.T. Δήμου Τρικκαίων,538,376,4,4,8,368,129,35,6,54,31,10,10,140,33,14,41,26,47,38,6,1,0,0,0,0,39,5,21,3,5,14,4,24,14,14,0,2,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,11,7,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,2,4,0,0,4,1,3,2
24 - Τρικάλων,226 E.T. Δήμου Τρικκαίων,536,367,9,4,13,354,110,23,19,42,32,2,7,153,37,17,31,31,89,48,0,0,0,0,0,0,39,7,15,5,10,18,0,19,6,10,0,2,4,1,4,1,0,1,2,1,2,1,0,0,0,0,0,0,0,0,8,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,11,0,1,1,2,1,0,0,1,0,3,2
24 - Τρικάλων,227 E.T. Δήμου Τρικκαίων,538,365,8,3,11,354,101,20,9,49,36,6,7,173,46,15,23,36,100,50,11,0,3,2,1,1,31,3,14,3,5,7,2,6,4,2,0,2,1,0,2,0,0,0,0,0,0,0,3,0,0,2,2,0,1,1,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,10,1,4,4,1,5,1,1,5,0,3,3
24 - Τρικάλων,228 E.T. Δήμου Τρικκαίων,530,336,5,2,7,329,110,40,10,38,35,13,11,142,45,11,36,30,76,32,2,1,1,0,1,0,27,6,11,7,3,8,0,15,6,13,3,2,2,3,3,1,1,0,2,1,0,0,1,0,0,0,1,0,0,0,10,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,8,2,4,0,3,5,0,2,4,0,3,3
24 - Τρικάλων,229 E.T. Δήμου Τρικκαίων,531,349,2,3,5,344,110,40,9,41,33,7,12,147,36,8,36,32,77,39,6,0,3,1,2,0,33,8,17,2,3,12,3,19,8,10,0,0,5,4,1,1,1,0,0,0,0,0,4,1,1,1,2,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,8,1,0,2,2,4,1,0,3,0,5,2
24 - Τρικάλων,230 E.T. Δήμου Τρικκαίων,556,381,6,1,7,374,111,27,7,40,32,4,8,177,49,11,43,34,106,42,4,1,3,0,1,2,29,5,14,4,8,8,3,25,10,14,2,2,6,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,14,5,3,1,6,5,0,0,4,0,0,0
24 - Τρικάλων,231 E.T. Δήμου Τρικκαίων,542,364,3,2,5,359,81,23,5,36,25,5,7,187,46,18,40,48,83,34,8,0,3,0,1,1,36,7,10,7,10,11,12,20,10,11,1,2,1,1,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,8,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,2,0,2,3,3,2,0,0,1,2,2
24 - Τρικάλων,232 E.T. Δήμου Τρικκαίων,537,348,4,0,4,344,100,34,10,28,24,5,8,159,39,16,38,42,76,38,3,2,0,0,1,0,38,5,15,1,12,10,6,20,7,9,1,2,2,0,3,1,1,1,1,0,0,0,5,2,2,0,1,1,0,0,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,1,0,1,2,0,0,1,0,1,1
24 - Τρικάλων,233 E.T. Δήμου Τρικκαίων,545,360,5,4,9,351,112,36,14,54,28,6,6,154,43,8,42,34,79,44,5,0,3,0,4,0,25,3,10,2,8,6,6,23,6,14,3,1,2,6,4,1,0,2,0,0,0,0,3,0,0,2,1,2,0,0,12,3,0,3,2,1,3,2,0,0,1,2,0,1,0,1,0,1,1,0,5,1,0,0,1,2,0,0,1,0,1,0
24 - Τρικάλων,234 E.T. Δήμου Τρικκαίων,560,385,18,1,19,366,102,27,6,36,35,8,12,170,39,10,41,38,90,41,6,2,3,1,1,0,29,3,9,3,3,18,2,20,11,9,1,1,2,2,3,2,1,0,0,1,0,0,4,1,1,0,2,0,0,0,14,3,1,3,6,4,0,3,1,0,1,3,1,0,0,0,0,0,2,0,7,2,0,1,2,5,0,0,2,1,1,0
24 - Τρικάλων,235 E.T. Δήμου Τρικκαίων,537,361,2,5,7,354,105,32,12,52,28,6,8,151,31,10,32,42,90,37,11,4,6,3,1,2,36,9,11,1,12,8,1,19,8,9,2,2,7,2,3,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,5,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,2,5,2,3,1,1,1,0,4,2
24 - Τρικάλων,236 E.T. Δήμου Τρικκαίων,570,361,5,5,10,351,105,28,10,33,35,6,10,155,31,17,44,35,82,42,6,0,4,0,4,0,29,11,12,1,7,9,3,24,10,15,1,0,5,3,2,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,9,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,1,2,6,1,0,5,1,2,1
24 - Τρικάλων,237 E.T. Δήμου Τρικκαίων,569,380,3,2,5,375,98,26,7,37,38,5,15,178,41,12,43,38,98,44,9,2,3,1,4,2,37,7,14,3,7,20,5,15,10,4,2,0,1,3,4,0,0,0,0,0,0,0,4,1,3,1,1,2,0,0,7,2,3,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,13,6,4,3,3,3,0,0,3,0,5,3
24 - Τρικάλων,238 E.T. Δήμου Τρικκαίων,558,351,4,5,9,342,97,30,12,32,23,6,5,157,48,7,26,31,69,46,2,1,1,0,0,2,39,0,14,4,6,15,5,19,6,10,4,1,1,1,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,7,3,1,0,1,1,3,3,1,0,1,1,1,0,0,0,0,0,0,0,11,2,1,0,6,0,0,0,0,0,2,1
24 - Τρικάλων,239 E.T. Δήμου Τρικκαίων,358,221,4,1,5,216,65,24,9,25,22,3,4,112,31,5,31,20,55,31,0,0,0,0,0,0,8,0,3,2,3,4,0,16,11,11,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,4,1
24 - Τρικάλων,240 E.T. Δήμου Τρικκαίων,427,289,4,2,6,283,108,31,10,43,37,9,14,109,31,7,32,27,46,15,6,2,2,0,1,2,21,4,10,0,11,8,1,9,5,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,3,2,0,0,5,0,1,2,3,0,1,2,0,0,0,0,0,0,0,3,3,3,0,0,9,2,1,1,1,3,2,0,3,0,4,2
24 - Τρικάλων,241 E.T. Δήμου Τρικκαίων,443,297,6,1,7,290,76,32,11,23,16,1,7,130,29,14,41,26,68,29,8,2,1,0,0,0,25,9,6,4,7,8,2,22,15,13,4,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,3,5,2,3,0,0,0,0,0,0,0,0,2,0,0,2,2,6,1,1,2,2,1,0,0,0,0,4,3
24 - Τρικάλων,242 E.T. Δήμου Τρικκαίων,542,347,5,2,7,340,100,37,13,28,31,3,4,135,35,12,27,21,65,29,12,2,4,1,2,1,30,7,13,1,4,14,4,27,8,15,4,0,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,1,3,1,2,2,1,1,0,1,0,0,0,3,1,1,2,0,8,5,3,1,1,2,0,0,0,0,6,5
24 - Τρικάλων,243 E.T. Δήμου Τρικκαίων,550,319,4,1,5,314,84,25,4,35,30,4,5,150,50,8,41,27,60,31,5,1,1,0,1,1,25,3,14,1,4,13,1,19,6,7,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,4,1,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,11,2,1,0,1,2,0,0,1,0,2,1
24 - Τρικάλων,244 E.T. Δήμου Τρικκαίων,532,340,8,3,11,329,97,36,8,28,32,6,12,136,36,12,25,42,62,32,10,0,5,0,3,0,36,4,20,0,4,13,3,16,10,6,0,1,6,4,4,2,0,1,0,0,0,0,3,1,1,0,1,1,0,0,10,3,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,4,2,3,2,1,0,0,0,0,2,1
24 - Τρικάλων,245 E.T. Δήμου Τρικκαίων,547,373,9,1,10,363,86,28,5,38,32,0,10,179,44,14,38,32,97,35,3,2,2,0,1,1,37,6,22,4,9,15,4,23,16,15,0,5,0,1,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,9,3,3,1,4,0,0,2,0,0,2,0,0,0,0,3,1,1,1,0,11,1,1,1,1,3,0,1,3,0,1,1
24 - Τρικάλων,246 E.T. Δήμου Τρικκαίων,538,350,1,3,4,346,83,26,6,30,35,7,7,150,43,14,38,38,71,37,9,1,4,1,1,3,47,5,17,3,12,19,7,22,8,8,4,1,4,3,2,1,0,0,0,0,0,0,2,0,0,0,1,1,2,0,9,4,2,3,1,1,1,1,1,0,0,1,0,0,0,2,2,2,0,0,9,4,1,2,2,4,0,0,4,1,4,2
24 - Τρικάλων,247 E.T. Δήμου Τρικκαίων,555,357,3,3,6,351,125,35,10,46,48,9,11,133,32,6,42,37,69,24,3,2,2,0,1,1,34,4,10,0,9,14,5,21,8,8,2,2,5,6,4,3,2,2,0,0,0,0,1,0,0,0,1,0,1,1,10,3,4,5,1,2,1,1,0,0,0,0,1,0,0,1,1,1,0,0,11,4,2,4,3,4,1,0,2,0,2,2
24 - Τρικάλων,248 E.T. Δήμου Τρικκαίων,570,378,10,5,15,363,114,42,9,48,37,5,14,143,34,16,25,34,81,31,3,0,2,0,0,1,45,6,17,0,12,21,10,23,10,11,0,1,7,10,2,1,0,0,0,0,0,0,4,0,1,0,1,1,0,0,8,3,2,2,4,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,12,6,4,0,1,3,1,0,2,0,3,1
24 - Τρικάλων,249 E.T. Δήμου Τρικκαίων,563,338,2,2,4,334,135,37,9,55,42,11,16,125,45,8,31,27,81,25,0,0,0,0,0,0,29,10,12,3,3,18,1,14,9,6,1,3,1,4,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,2,6,1,1,0,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,12,6,3,2,2,2,0,0,2,1,4,2
24 - Τρικάλων,250 E.T. Δήμου Τρικκαίων,570,356,2,1,3,353,110,36,8,37,45,3,23,139,36,12,33,38,69,40,5,1,1,1,0,1,41,14,16,1,9,14,6,21,9,8,4,3,2,3,5,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,11,4,3,2,3,0,1,3,0,0,1,1,2,0,0,0,0,0,1,0,9,1,0,2,3,4,1,0,2,0,2,1
24 - Τρικάλων,251 E.T. Δήμου Τρικκαίων,454,283,1,1,2,281,71,17,8,26,19,1,4,159,18,57,103,18,41,18,6,0,0,1,3,2,17,1,4,4,4,3,5,13,10,8,2,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,3
24 - Τρικάλων,252 E.T. Δήμου Τρικκαίων,415,236,5,0,5,231,71,23,5,16,22,4,5,114,16,33,60,26,37,11,1,0,1,0,0,0,12,3,4,1,2,1,4,16,6,15,4,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,2,2,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,4,0,2,2,2,0,0,0,0,0,1,1
24 - Τρικάλων,253 E.T. Δήμου Τρικκαίων,456,247,4,2,6,241,73,12,3,23,21,5,5,122,15,54,79,11,27,13,0,0,0,0,0,0,13,1,6,0,3,8,3,20,3,12,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,1,1
24 - Τρικάλων,254 E.T. Δήμου Τρικκαίων,419,237,5,1,6,231,70,28,6,32,21,6,8,110,18,25,46,25,35,23,2,0,1,0,1,0,15,3,8,2,4,3,1,22,11,12,5,3,3,4,3,1,0,1,1,0,0,0,4,0,0,0,1,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,255 E.T. Δήμου Τρικκαίων,447,230,4,1,5,225,66,16,7,27,23,5,4,124,8,50,62,21,27,42,3,1,1,1,0,0,11,3,3,0,3,3,1,4,2,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,2,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,3,3
24 - Τρικάλων,256 E.T. Δήμου Τρικκαίων,488,313,1,0,1,312,71,45,2,22,20,1,2,145,59,23,23,40,74,26,6,2,1,0,1,1,29,1,8,1,11,19,4,37,16,25,1,10,5,2,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,2,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,2,1,0,0,2,1,0,1,0,2,2
24 - Τρικάλων,257 E.T. Δήμου Τρικκαίων,308,189,2,1,3,186,57,18,2,19,18,3,2,77,25,8,16,22,46,15,4,1,1,0,0,0,11,1,5,0,5,4,1,16,1,9,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,1,2,0,0,0,0,0,3,0
24 - Τρικάλων,258 E.T. Δήμου Τρικκαίων,267,146,3,0,3,143,39,16,4,11,14,2,3,53,17,7,12,23,21,10,6,2,1,1,2,3,7,4,3,0,1,3,0,20,9,5,5,0,7,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,8,7,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,2,1
24 - Τρικάλων,259 E.T. Δήμου Τρικκαίων,454,298,6,2,8,290,92,32,12,30,29,2,5,96,30,8,14,25,55,20,8,1,4,0,2,3,42,6,20,0,7,20,10,18,11,9,1,2,3,1,6,4,0,2,3,0,0,0,1,0,0,0,1,1,0,0,9,5,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,6,1,0,2,0,4,0,0,1,0,6,2
24 - Τρικάλων,260 E.T. Δήμου Τρικκαίων,384,279,3,2,5,274,66,21,6,31,25,2,5,119,41,6,28,35,48,16,7,0,3,0,0,0,39,7,18,3,3,13,6,13,6,5,1,4,2,1,3,0,0,2,1,0,1,0,2,1,0,0,0,0,0,0,8,3,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,2,3,0,0,1,0,0,0
24 - Τρικάλων,261 E.T. Δήμου Τρικκαίων,534,343,5,5,10,333,116,27,23,50,28,7,5,131,29,10,32,31,65,31,6,1,2,0,1,1,25,7,10,1,8,7,3,15,3,2,1,0,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,12,1,3,3,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,9,1,2,3,4,8,2,0,5,3,6,2
24 - Τρικάλων,262 E.T. Δήμου Τρικκαίων,541,344,3,4,7,337,118,30,14,43,36,7,12,135,28,16,32,20,63,38,3,1,0,1,1,1,20,7,7,0,6,7,1,22,7,11,2,4,10,3,4,1,0,0,0,0,0,0,7,0,0,0,3,0,0,0,11,6,3,1,5,0,3,3,1,0,2,0,0,0,0,1,0,1,0,0,11,6,2,1,4,1,0,0,1,0,1,1
24 - Τρικάλων,263 E.T. Δήμου Τρικκαίων,544,369,6,3,9,360,116,36,12,42,36,9,10,158,38,19,24,38,75,39,6,1,4,1,1,2,26,4,7,1,5,18,0,21,5,10,4,0,7,3,3,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,13,2,1,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,8,3,1,0,6,4,0,0,4,1,1,1
24 - Τρικάλων,264 E.T. Δήμου Τρικκαίων,548,355,6,1,7,348,120,43,11,52,30,17,8,138,34,14,38,26,68,30,6,1,2,1,3,0,32,2,15,1,4,21,5,16,10,6,0,1,4,3,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,7,5,0,2,4,0,0,2,1,3,2
24 - Τρικάλων,265 E.T. Δήμου Τρικκαίων,539,340,3,2,5,335,93,22,7,31,24,1,10,144,35,9,40,30,71,27,10,2,6,1,3,4,44,3,16,2,9,27,6,20,3,5,6,1,8,2,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,8,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,2,1,6,0,0,5,1,0,0
24 - Τρικάλων,266 E.T. Δήμου Τρικκαίων,535,344,5,4,9,335,100,33,8,35,37,5,10,134,28,17,25,38,69,30,6,1,2,0,1,1,22,3,4,0,6,15,3,31,7,12,4,0,11,13,5,2,1,2,0,0,0,0,1,1,0,0,0,0,2,2,5,0,1,2,1,0,1,2,2,0,0,0,0,0,0,1,0,0,1,1,16,6,2,0,4,8,1,0,5,1,1,0
24 - Τρικάλων,267 E.T. Δήμου Τρικκαίων,534,350,8,1,9,341,102,31,11,38,28,6,6,151,31,21,34,37,72,50,5,0,2,2,1,0,30,8,9,1,8,17,5,22,8,12,4,0,10,2,1,0,0,0,0,0,0,0,4,2,1,0,3,0,0,0,6,2,1,2,1,0,0,2,0,0,0,2,2,0,0,3,1,1,1,1,9,2,1,1,1,4,2,0,2,1,1,0
24 - Τρικάλων,268 E.T. Δήμου Τρικκαίων,562,361,3,3,6,355,87,18,14,33,21,3,12,140,39,18,25,33,65,36,10,0,1,3,6,2,47,9,17,6,10,20,4,14,5,7,1,0,3,5,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,11,4,3,2,2,2,2,3,2,0,0,1,1,0,0,5,2,2,0,0,18,1,3,2,5,9,1,0,2,0,6,2
