ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΚΕΒΡΕΚΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Χαράλαμπου,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΣΕΛΤΣΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΜΙΣΚΑΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΜΠΟΥΤΣΚΟΥ ΛΕΜΟΝΙΑ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Παντελή,ΓΙΑΝΝΑΚΙΔΟΥ ΕΛΕΝΗ του Θεοχάρη,Κίνημα Αλλαγής,ΚΩΣΤΑΡΕΛΛΗΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Δήμου,ΠΙΧΤΡΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΡΕΠΠΑ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ιωάννη,ΣΤΟΪΚΟΥ ΑΦΡΟΔΙΤΗ του Γεωργίου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΚΛΑΔΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΔΗΜΗΤΡΙΟΥ ΛΕΩΝΙΔΑΣ του Σωκράτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΝΑΪΔΟΣ ΝΙΚΟΛΑΟΣ του Λουκά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΣΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ζήση,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΣΕΜΕΡΤΖΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΗΣ ΒΑΣΙΛΕΙΟΣ του Πέτρου,ΚΥΡΑΓΙΑΝΝΗ ΕΛΕΝΗ του Γεωργίου,Λαϊκή Ενότητα,ΠΑΠΑΝΤΩΝΙΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΧΡΗΣΤΟΣ του Αναστασίου,ΚΑΚΑΡΕΤΣΑ ΕΛΕΝΗ του Θεοδώρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΝΙΚΟΛΑΪΔΗΣ ΘΕΟΚΛΗΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
14 - Φλώρινας,135 E.T. Δήμου Φλώρινας,549,224,4,2,6,218,87,11,5,26,24,48,36,4,3,2,2,1,0,16,1,9,0,1,16,1,3,2,0,4,0,0,1,0,1,1,30,24,4,2,0,0,0,0,4,1,0,0,0,8,3,3,0,0,0,1,1
14 - Φλώρινας,136 E.T. Δήμου Φλώρινας,597,135,1,1,2,133,65,4,2,35,18,36,23,3,3,3,0,0,0,16,5,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
14 - Φλώρινας,137 E.T. Δήμου Φλώρινας,405,118,0,0,0,118,58,1,5,43,3,26,17,5,2,1,1,0,0,4,0,4,0,0,13,2,0,0,4,4,2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,6,1,1,0,0,0,2,1
14 - Φλώρινας,138 E.T. Δήμου Φλώρινας,489,153,0,0,0,153,73,3,2,49,5,33,26,2,4,0,2,0,0,14,1,11,0,0,18,5,1,1,4,1,1,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0
14 - Φλώρινας,139 E.T. Δήμου Φλώρινας,499,281,2,0,2,279,81,9,28,21,3,93,73,3,7,1,3,1,0,46,6,34,0,1,18,0,1,0,12,0,0,0,0,0,0,0,29,25,0,4,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,4,3
14 - Φλώρινας,140 E.T. Δήμου Φλώρινας,350,93,0,0,0,93,31,2,1,20,5,39,30,4,1,1,0,0,0,13,1,8,0,4,2,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0
14 - Φλώρινας,141 E.T. Δήμου Φλώρινας,538,110,0,0,0,110,48,3,2,27,10,38,27,6,2,0,0,0,0,4,0,4,0,0,4,0,0,4,0,2,0,0,0,0,0,0,8,8,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1
14 - Φλώρινας,142 E.T. Δήμου Φλώρινας,540,134,1,0,1,133,67,8,4,27,12,39,30,6,1,0,1,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
14 - Φλώρινας,143 E.T. Δήμου Φλώρινας,535,125,0,2,2,123,64,5,3,28,19,25,20,4,0,0,3,2,0,8,1,7,0,0,8,0,0,8,0,2,1,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
14 - Φλώρινας,144 E.T. Δήμου Φλώρινας,298,62,1,2,3,59,32,3,0,23,4,16,8,5,3,0,2,0,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14 - Φλώρινας,145 E.T. Δήμου Φλώρινας,419,134,3,1,4,130,36,2,4,17,6,52,39,0,5,1,10,7,1,10,0,7,0,2,1,0,0,1,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,1,1,5,4,0,1,1,0,6,2
14 - Φλώρινας,146 E.T. Δήμου Φλώρινας,448,136,2,1,3,133,44,7,5,14,9,50,37,6,0,2,9,3,0,13,1,9,0,0,0,0,0,0,0,7,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1
14 - Φλώρινας,147 E.T. Δήμου Φλώρινας,457,125,1,0,1,124,57,6,4,17,12,41,31,1,5,0,2,1,0,6,3,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14 - Φλώρινας,148 E.T. Δήμου Φλώρινας,513,134,3,0,3,131,62,6,1,23,14,41,26,1,4,1,1,0,1,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0
