ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΛΕΝΤΖΑΣ ΣΠΥΡΙΔΩΝ του Σωτηρίου,ΚΡΙΤΣΙΜΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΜΠΑΡΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοφάνη,ΜΠΟΤΖΙΟΥ ΓΕΩΡΓΙΑ του Μιλτιάδη,Νέα Δημοκρατία,ΓΙΑΝΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,ΚΟΝΤΑΞΗ-ΝΑΣΗ ΣΕΒΑΣΤΗ (ΣΕΒΗ) του Ιωάννη,ΚΥΡΙΑΚΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΡΑΒΑΝΟΥ ΔΗΜΗΤΡΑ του Ιωάννη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΑΚΟΥΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΝΤΡΙΚΟΥ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΤΕΦΑΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΚΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΠΑΠΠΑ ΑΙΚΑΤΕΡΙΝΗ του Αδάμ,ΠΕΠΟΝΗΣ ΧΡΗΣΤΟΣ του Θωμά,Κ.Κ.Ε.,ΚΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωσήφ,ΜΑΛΕΖΑ ΖΗΝΟΒΙΑ του Ευσταθίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΕΙΡΗΝΗ του Δημητρίου,ΠΟΥΜΠΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Ένωση Κεντρώων,ΚΟΥΤΣΟΧΡΗΣΤΟΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,ΛΙΑΣΚΟΥ ΣΩΤΗΡΙΑ του Ξενοφώντος,Ο.Κ.Δ.Ε.,ΖΑΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΟΥΡΕΚΑΣ ΘΕΟΔΩΡΟΣ του Κωνσταντίνου,ΓΙΑΡΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΝΑΝΟΣ ΕΥΑΓΓΕΛΟΣ του Σωτηρίου,Ελλήνων Συνέλευσις,ΣΑΚΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΣΙΛΙΚΑΡΗ ΑΡΕΤΗ του Γεωργίου,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΝΟΥΣΙΑΣ ΟΡΕΣΤΗΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΝΤΟΥΣΚΟΣ ΠΕΤΡΟΣ του Οδυσσέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΣΙΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΛΑΪΝΑ ΠΑΡΘΕΝΙΑ του Νικολάου,ΛΙΒΙΕΡΑΤΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΜέΡΑ25,ΝΙΚΟΥ ΕΡΩΤΟΚΡΙΤΟΣ του Διονυσίου,ΝΤΟΒΑ ΔΗΜΗΤΡΑ του Θεολόγου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΚΩΣΤΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΟΥΜΕΛΙΩΤΗΣ ΣΤΕΦΑΝΟΣ του Ανδρέα
21 - Πρέβεζας,123 E.T. Δήμου Πρέβεζας,371,239,2,2,4,235,95,7,44,35,0,93,50,6,28,4,1,0,0,0,29,2,4,4,17,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,5,3
21 - Πρέβεζας,124 E.T. Δήμου Πρέβεζας,167,96,2,0,2,94,17,1,0,4,0,60,35,3,17,0,2,0,0,0,7,1,0,0,6,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 - Πρέβεζας,125 E.T. Δήμου Πρέβεζας,392,234,2,0,2,232,76,22,0,28,3,64,33,4,18,1,1,0,0,0,10,0,3,0,7,65,52,0,2,1,1,0,0,0,0,1,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,1,0,0,7,2,1,0,0,0,1,0
21 - Πρέβεζας,126 E.T. Δήμου Πρέβεζας,440,260,1,1,2,258,100,27,6,39,0,77,43,4,25,2,3,0,0,0,11,0,1,0,6,49,36,0,1,1,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,3,2
21 - Πρέβεζας,127 E.T. Δήμου Πρέβεζας,395,236,1,3,4,232,71,24,4,27,1,93,44,3,35,3,1,0,0,0,22,3,4,0,12,37,30,1,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
21 - Πρέβεζας,128 E.T. Δήμου Πρέβεζας,427,256,4,3,7,249,78,16,5,28,2,94,59,2,26,1,0,0,0,0,14,1,2,1,6,48,35,0,3,1,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,5,2,0,0,0,0,3,1
21 - Πρέβεζας,129 E.T. Δήμου Πρέβεζας,539,359,2,1,3,356,141,75,3,40,2,127,85,5,18,7,5,1,3,0,33,1,7,3,14,28,3,4,8,7,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,12,6,4,1,0,1,3,1
21 - Πρέβεζας,130 E.T. Δήμου Πρέβεζας,547,376,2,1,3,373,153,72,9,48,4,131,82,8,23,8,2,1,0,1,26,1,6,0,16,26,13,1,2,6,2,0,1,0,0,6,1,0,2,3,3,4,1,1,0,0,0,0,1,0,0,2,1,1,12,9,1,1,0,0,4,1
21 - Πρέβεζας,131 E.T. Δήμου Πρέβεζας,541,361,4,4,8,353,144,62,9,59,4,121,62,9,35,5,7,3,0,0,36,0,6,1,20,20,3,3,6,3,1,1,0,0,0,3,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,2,1,4,0,1,5,4
21 - Πρέβεζας,132 E.T. Δήμου Πρέβεζας,528,339,11,3,14,325,122,47,4,51,0,133,88,12,18,4,2,0,0,1,23,2,5,0,13,24,4,3,11,3,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,2,1,4,1,3,2,2
21 - Πρέβεζας,133 E.T. Δήμου Πρέβεζας,556,380,6,2,8,372,145,47,11,68,2,149,86,5,41,13,5,1,0,1,32,0,4,2,15,17,5,2,1,2,2,0,1,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,0,13,4,3,0,0,0,3,3
21 - Πρέβεζας,134 E.T. Δήμου Πρέβεζας,542,311,6,4,10,301,119,40,6,50,3,116,55,7,44,3,4,0,0,2,30,2,9,0,14,15,2,2,7,3,3,1,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0
21 - Πρέβεζας,135 E.T. Δήμου Πρέβεζας,541,351,7,2,9,342,120,63,4,28,1,150,92,10,34,12,0,0,0,0,24,1,1,0,15,24,3,2,7,6,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,5,0,1,2,1,1,8,3,2,0,0,0,4,3
21 - Πρέβεζας,136 E.T. Δήμου Πρέβεζας,549,340,2,6,8,332,116,50,5,38,3,130,83,8,24,13,6,1,0,0,27,1,2,1,19,20,7,1,4,3,4,1,1,0,0,1,0,0,1,1,1,3,1,0,0,0,1,0,1,0,0,2,0,1,10,3,1,2,2,0,8,4
