ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΛΕΝΤΖΑΣ ΣΠΥΡΙΔΩΝ του Σωτηρίου,ΚΡΙΤΣΙΜΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΜΠΑΡΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοφάνη,ΜΠΟΤΖΙΟΥ ΓΕΩΡΓΙΑ του Μιλτιάδη,Νέα Δημοκρατία,ΓΙΑΝΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,ΚΟΝΤΑΞΗ-ΝΑΣΗ ΣΕΒΑΣΤΗ (ΣΕΒΗ) του Ιωάννη,ΚΥΡΙΑΚΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΡΑΒΑΝΟΥ ΔΗΜΗΤΡΑ του Ιωάννη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΑΚΟΥΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΝΤΡΙΚΟΥ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΤΕΦΑΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΚΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΠΑΠΠΑ ΑΙΚΑΤΕΡΙΝΗ του Αδάμ,ΠΕΠΟΝΗΣ ΧΡΗΣΤΟΣ του Θωμά,Κ.Κ.Ε.,ΚΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωσήφ,ΜΑΛΕΖΑ ΖΗΝΟΒΙΑ του Ευσταθίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΕΙΡΗΝΗ του Δημητρίου,ΠΟΥΜΠΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Ένωση Κεντρώων,ΚΟΥΤΣΟΧΡΗΣΤΟΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,ΛΙΑΣΚΟΥ ΣΩΤΗΡΙΑ του Ξενοφώντος,Ο.Κ.Δ.Ε.,ΖΑΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΟΥΡΕΚΑΣ ΘΕΟΔΩΡΟΣ του Κωνσταντίνου,ΓΙΑΡΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΝΑΝΟΣ ΕΥΑΓΓΕΛΟΣ του Σωτηρίου,Ελλήνων Συνέλευσις,ΣΑΚΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΣΙΛΙΚΑΡΗ ΑΡΕΤΗ του Γεωργίου,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΝΟΥΣΙΑΣ ΟΡΕΣΤΗΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΝΤΟΥΣΚΟΣ ΠΕΤΡΟΣ του Οδυσσέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΣΙΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΛΑΪΝΑ ΠΑΡΘΕΝΙΑ του Νικολάου,ΛΙΒΙΕΡΑΤΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΜέΡΑ25,ΝΙΚΟΥ ΕΡΩΤΟΚΡΙΤΟΣ του Διονυσίου,ΝΤΟΒΑ ΔΗΜΗΤΡΑ του Θεολόγου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΚΩΣΤΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΟΥΜΕΛΙΩΤΗΣ ΣΤΕΦΑΝΟΣ του Ανδρέα
21 - Πρέβεζας,1 E.T. Δήμου Ζηρού,315,170,3,0,3,167,23,2,1,13,0,129,51,14,51,5,3,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5,2
21 - Πρέβεζας,2 E.T. Δήμου Ζηρού,339,203,4,4,8,195,43,6,6,16,0,121,57,2,53,3,3,2,0,1,7,5,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,1,0,1,1,1,0,1,0,1,10,1,9,1,1
21 - Πρέβεζας,3 E.T. Δήμου Ζηρού,305,143,3,1,4,139,25,0,2,12,2,96,40,7,36,6,1,0,0,1,5,3,1,0,0,1,0,0,0,0,3,1,1,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0
21 - Πρέβεζας,4 E.T. Δήμου Ζηρού,431,235,3,0,3,232,54,2,3,31,1,136,67,6,49,1,4,1,1,1,11,8,2,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,17,0,16,0,0
21 - Πρέβεζας,5 E.T. Δήμου Ζηρού,172,81,0,1,1,80,24,1,1,20,1,38,13,3,15,2,0,0,0,0,13,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,1
21 - Πρέβεζας,6 E.T. Δήμου Ζηρού,433,236,2,0,2,234,84,14,4,41,2,97,34,4,43,7,4,0,1,0,24,9,5,0,4,12,5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,1,3,1,0,0,2,1
21 - Πρέβεζας,7 E.T. Δήμου Ζηρού,422,272,2,0,2,270,91,16,6,49,3,117,48,14,38,4,3,3,0,0,24,7,2,2,11,17,7,0,1,3,1,0,0,1,1,2,0,2,0,0,0,5,1,0,1,1,0,0,1,0,1,2,2,0,3,1,1,2,2,0,0,0
21 - Πρέβεζας,8 E.T. Δήμου Ζηρού,453,272,0,1,1,271,79,25,13,24,3,130,44,11,48,9,3,3,0,0,18,2,6,0,5,20,7,0,3,5,1,1,0,1,0,1,0,0,0,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,5,5
21 - Πρέβεζας,9 E.T. Δήμου Ζηρού,431,259,4,0,4,255,89,19,2,38,4,101,25,7,55,4,0,0,0,0,18,6,1,0,7,26,7,1,3,4,1,1,0,1,1,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,1,1,0,10,3,2,0,0,0,3,1
21 - Πρέβεζας,10 E.T. Δήμου Ζηρού,321,152,0,0,0,152,40,3,4,30,2,79,26,16,25,0,8,4,1,0,8,1,4,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0
21 - Πρέβεζας,11 E.T. Δήμου Ζηρού,270,166,0,1,1,165,41,7,6,19,1,83,27,11,23,2,3,0,0,1,17,5,2,1,6,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,8,0,5,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0
21 - Πρέβεζας,12 E.T. Δήμου Ζηρού,225,127,2,1,3,124,49,1,7,28,0,49,27,4,11,4,3,2,0,0,11,3,0,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0
21 - Πρέβεζας,13 E.T. Δήμου Ζηρού,184,128,1,1,2,126,60,8,6,32,0,33,17,3,9,2,2,2,0,0,12,5,7,0,0,6,4,1,0,1,1,0,0,0,0,1,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,2,1
21 - Πρέβεζας,14 E.T. Δήμου Ζηρού,340,204,4,0,4,200,53,7,3,36,0,101,36,6,44,6,31,0,0,0,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0
21 - Πρέβεζας,15 E.T. Δήμου Ζηρού,285,162,1,1,2,160,57,19,2,31,0,79,50,2,21,3,2,0,0,0,11,3,4,0,3,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,2,3,3
21 - Πρέβεζας,16 E.T. Δήμου Ζηρού,370,210,1,1,2,208,57,22,2,25,0,109,55,7,43,1,7,4,0,0,23,6,1,2,11,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,1,1
21 - Πρέβεζας,17 E.T. Δήμου Ζηρού,308,136,2,0,2,134,33,4,1,15,1,82,27,32,14,5,3,0,0,0,7,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0
21 - Πρέβεζας,18 E.T. Δήμου Ζηρού,400,218,4,2,6,212,34,4,1,16,0,153,33,64,36,3,0,0,0,0,14,0,2,0,9,2,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
21 - Πρέβεζας,19 E.T. Δήμου Ζηρού,348,176,1,0,1,175,63,9,5,43,1,77,19,24,20,1,4,0,0,0,17,1,2,1,7,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0
21 - Πρέβεζας,20 E.T. Δήμου Ζηρού,352,194,0,0,0,194,81,27,7,25,1,73,24,18,17,5,2,0,0,0,18,3,2,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,9,2,3,1,0,0,2,0
21 - Πρέβεζας,21 E.T. Δήμου Ζηρού,447,239,3,0,3,236,95,15,13,45,3,92,22,10,60,0,6,3,0,2,20,4,3,1,7,12,2,1,0,3,2,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,2,2
21 - Πρέβεζας,22 E.T. Δήμου Ζηρού,437,192,3,5,8,184,67,6,5,38,1,79,34,12,22,3,1,1,0,0,15,2,0,1,5,17,3,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
21 - Πρέβεζας,23 E.T. Δήμου Ζηρού,442,211,5,1,6,205,66,3,16,35,1,79,25,9,36,0,3,1,0,0,23,5,4,0,8,18,6,0,0,6,1,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,2,1,1,0,0,0,7,2,1,0,0,0,2,1
21 - Πρέβεζας,24 E.T. Δήμου Ζηρού,325,167,0,0,0,167,50,5,6,28,0,70,28,8,26,1,0,0,0,0,19,3,9,1,4,22,13,0,0,9,2,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21 - Πρέβεζας,25 E.T. Δήμου Ζηρού,400,208,2,1,3,205,68,4,15,37,2,99,69,5,19,0,4,1,0,0,17,2,7,1,7,9,6,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
21 - Πρέβεζας,26 E.T. Δήμου Ζηρού,497,340,4,2,6,334,126,19,10,66,2,117,43,3,60,1,3,1,0,0,39,3,5,3,13,21,6,0,0,15,1,0,1,0,0,2,0,0,0,8,0,0,4,2,0,0,0,0,4,1,3,0,0,0,13,0,11,0,0,0,0,0
21 - Πρέβεζας,27 E.T. Δήμου Ζηρού,529,359,3,4,7,352,116,10,8,78,3,172,41,55,58,5,9,3,0,2,21,12,1,0,1,16,4,4,2,0,2,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,4,0,3,5,1,1,1,0,0,2,0
21 - Πρέβεζας,28 E.T. Δήμου Ζηρού,487,327,4,6,10,317,89,3,2,59,2,168,51,70,36,2,7,1,0,2,24,5,3,1,6,15,0,5,0,1,4,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,3,3
21 - Πρέβεζας,29 E.T. Δήμου Ζηρού,492,330,6,3,9,321,83,16,2,41,3,166,38,57,54,4,14,0,0,9,24,10,6,1,4,11,1,0,0,0,2,0,0,0,0,2,0,0,0,2,1,5,2,0,0,0,0,0,3,1,0,0,0,0,5,0,2,2,0,0,2,1
21 - Πρέβεζας,30 E.T. Δήμου Ζηρού,493,326,2,3,5,321,85,4,7,52,2,155,50,55,25,9,10,1,1,3,29,6,5,8,4,21,3,6,3,3,0,0,0,0,0,0,0,0,0,7,7,3,0,1,0,0,0,0,0,0,0,1,1,0,8,0,1,1,0,1,1,1
21 - Πρέβεζας,31 E.T. Δήμου Ζηρού,489,335,2,4,6,329,115,9,6,82,5,159,40,51,46,8,0,0,0,0,23,12,4,1,4,12,1,0,0,2,4,1,0,0,0,1,0,0,1,1,1,8,2,3,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,1,0,0
21 - Πρέβεζας,32 E.T. Δήμου Ζηρού,525,333,5,1,6,327,111,8,6,69,3,148,36,51,29,15,6,0,1,4,19,11,1,1,2,16,1,4,0,1,1,0,1,0,0,2,0,0,0,2,2,9,3,1,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,1,6,1
21 - Πρέβεζας,33 E.T. Δήμου Ζηρού,497,315,4,0,4,311,82,5,2,55,1,149,48,62,18,9,2,0,1,1,32,16,4,4,1,13,1,0,2,0,1,0,0,0,0,0,0,0,0,8,5,5,2,2,0,0,1,1,1,0,0,2,1,0,9,4,1,3,1,2,3,1
21 - Πρέβεζας,34 E.T. Δήμου Ζηρού,493,319,2,1,3,316,105,9,6,62,2,146,30,49,40,9,14,4,0,3,15,7,3,1,3,19,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,1,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,2,1
21 - Πρέβεζας,35 E.T. Δήμου Ζηρού,477,289,7,2,9,280,77,10,5,41,4,137,40,19,62,8,5,3,0,0,26,9,8,1,1,1,0,0,0,0,5,2,2,0,0,0,0,0,0,5,5,7,4,1,0,0,0,0,2,1,1,0,0,0,4,1,0,1,0,1,10,6
21 - Πρέβεζας,36 E.T. Δήμου Ζηρού,481,295,4,3,7,288,96,3,7,42,4,131,49,7,51,3,3,1,0,1,31,9,7,4,1,3,0,0,2,0,2,1,1,0,0,1,0,0,0,1,1,15,5,4,1,1,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0
21 - Πρέβεζας,37 E.T. Δήμου Ζηρού,522,326,5,1,6,320,85,9,5,37,3,153,56,30,35,7,8,0,0,3,57,53,0,1,1,7,1,1,1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,1,1
21 - Πρέβεζας,38 E.T. Δήμου Ζηρού,366,215,3,2,5,210,50,7,4,21,2,133,83,14,24,0,13,1,0,1,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
21 - Πρέβεζας,39 E.T. Δήμου Ζηρού,249,147,1,0,1,146,23,2,2,16,0,103,54,10,15,15,3,1,0,2,10,8,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21 - Πρέβεζας,40 E.T. Δήμου Ζηρού,325,166,1,1,2,164,39,4,3,21,1,102,44,12,38,5,7,0,1,2,9,6,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
21 - Πρέβεζας,41 E.T. Δήμου Ζηρού,342,186,2,0,2,184,89,15,2,55,6,60,22,3,25,1,3,2,0,0,18,9,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,4,3
21 - Πρέβεζας,42 E.T. Δήμου Ζηρού,529,319,4,1,5,314,81,5,10,55,0,178,70,9,81,3,6,1,1,1,15,9,5,0,1,17,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,3
21 - Πρέβεζας,43 E.T. Δήμου Ζηρού,499,314,8,1,9,305,103,8,4,67,4,156,66,30,41,2,5,2,2,0,10,4,2,0,1,12,1,3,1,0,1,1,0,0,0,0,0,0,0,5,3,7,2,4,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,2,2
21 - Πρέβεζας,44 E.T. Δήμου Ζηρού,347,178,2,5,7,171,57,2,0,46,0,77,43,5,20,0,2,2,0,0,9,4,1,0,2,9,6,0,0,0,2,0,0,1,1,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0,1,5,1,1,1,0,1,0,0
21 - Πρέβεζας,45 E.T. Δήμου Ζηρού,348,191,9,3,12,179,59,4,2,44,1,97,49,11,20,3,0,0,0,0,8,3,0,0,2,3,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,1,0
21 - Πρέβεζας,46 E.T. Δήμου Ζηρού,458,305,6,2,8,297,139,10,22,90,0,114,39,16,39,12,4,0,1,1,12,1,3,0,7,18,9,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0
21 - Πρέβεζας,47 E.T. Δήμου Ζηρού,189,127,1,0,1,126,51,3,5,31,1,53,25,4,16,5,3,3,0,0,10,3,3,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0
21 - Πρέβεζας,48 E.T. Δήμου Πάργας,520,290,4,1,5,285,107,9,17,33,4,122,9,1,105,0,0,0,0,0,33,2,9,4,11,3,0,1,2,0,2,0,0,0,0,2,0,0,2,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,9,6,1,0,0,0,2,1
21 - Πρέβεζας,49 E.T. Δήμου Πάργας,537,285,4,5,9,276,90,24,10,27,3,113,13,2,94,1,2,0,0,0,36,3,7,1,11,10,1,1,1,0,3,1,1,0,0,8,2,0,5,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,8,0,1,0,0,0,0,0
21 - Πρέβεζας,50 E.T. Δήμου Πάργας,342,215,1,3,4,211,81,10,13,30,6,87,5,0,74,0,2,1,0,0,13,2,2,3,2,7,0,2,0,0,2,1,0,0,0,5,0,1,4,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,5,1,1,0,0,0,5,0
21 - Πρέβεζας,51 E.T. Δήμου Πάργας,390,245,2,1,3,242,74,17,12,24,2,126,7,1,99,5,3,1,0,1,14,5,1,1,3,8,1,0,3,0,2,1,1,0,0,3,2,0,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,0,2,1
21 - Πρέβεζας,52 E.T. Δήμου Πάργας,124,50,0,0,0,50,17,1,6,4,4,21,6,2,10,0,2,1,0,0,5,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21 - Πρέβεζας,53 E.T. Δήμου Πάργας,523,322,1,3,4,318,97,23,9,29,6,158,7,4,140,1,6,5,0,1,16,2,0,3,2,14,2,2,2,0,1,0,0,0,0,7,5,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,10,2,3,0,0,0,5,1
21 - Πρέβεζας,54 E.T. Δήμου Πάργας,522,343,3,2,5,338,81,6,6,28,4,188,11,3,75,0,9,1,2,1,25,2,5,2,8,13,4,0,3,0,1,1,0,0,0,5,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,1,1,9,4,2,0,0,0,2,1
21 - Πρέβεζας,55 E.T. Δήμου Πάργας,525,325,3,0,3,322,92,13,13,33,5,157,17,3,132,1,6,2,0,0,24,1,4,3,6,12,0,2,10,0,4,1,2,0,0,1,1,0,0,1,1,6,2,1,1,0,0,0,1,0,0,1,0,0,7,1,3,4,1,2,5,1
21 - Πρέβεζας,56 E.T. Δήμου Πάργας,538,307,6,1,7,300,100,16,16,42,7,145,15,4,125,1,6,3,3,0,18,4,2,1,5,7,2,3,0,0,1,1,0,0,0,5,4,1,0,1,1,6,0,4,0,0,0,0,1,1,0,0,0,0,6,1,2,1,0,0,3,2
21 - Πρέβεζας,57 E.T. Δήμου Πάργας,225,169,1,0,1,168,40,2,6,21,1,105,17,1,79,1,2,1,0,0,7,0,0,6,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0
21 - Πρέβεζας,58 E.T. Δήμου Πάργας,541,322,2,1,3,319,77,11,2,32,11,192,40,6,127,5,7,3,3,0,15,3,0,6,2,9,2,2,3,0,1,1,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,2,0,0,2,0
21 - Πρέβεζας,59 E.T. Δήμου Πάργας,511,278,7,1,8,270,102,11,10,39,31,118,37,4,58,2,1,1,0,0,10,1,1,7,0,6,1,2,1,1,3,1,0,6,2,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0,0,8,0,5,1,0,0,5,2
21 - Πρέβεζας,60 E.T. Δήμου Πάργας,519,266,4,1,5,261,92,9,3,34,21,106,34,4,54,2,2,0,0,1,27,2,1,16,4,1,1,0,0,0,3,2,0,1,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,16,7,2,1,0,0,6,4
21 - Πρέβεζας,61 E.T. Δήμου Πάργας,526,294,8,1,9,285,111,22,9,39,30,100,23,2,64,3,11,5,2,2,24,2,3,17,2,5,3,1,0,1,6,0,2,0,0,5,0,1,2,1,0,11,7,1,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,3,2
21 - Πρέβεζας,62 E.T. Δήμου Πάργας,317,151,4,1,5,146,54,14,7,15,6,58,23,4,15,4,4,1,1,0,17,2,4,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0
21 - Πρέβεζας,63 E.T. Δήμου Πάργας,234,133,2,1,3,130,39,2,5,18,8,72,17,5,45,2,3,1,1,0,4,0,1,3,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,1
21 - Πρέβεζας,64 E.T. Δήμου Πάργας,397,222,2,0,2,220,106,24,5,62,3,61,23,2,32,0,3,1,0,0,25,0,4,2,10,12,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,5,1,1,0,0,0,2,0
21 - Πρέβεζας,65 E.T. Δήμου Πάργας,515,234,3,0,3,231,63,15,5,24,5,93,32,1,50,0,0,0,0,0,36,4,3,22,4,20,0,1,3,9,2,1,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,1,0,0,0,2,1,0,8,0,2,1,0,0,1,1
21 - Πρέβεζας,66 E.T. Δήμου Πάργας,381,183,0,0,0,183,59,14,8,19,7,63,30,1,28,1,4,2,1,1,42,2,1,36,2,7,1,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,0
21 - Πρέβεζας,67 E.T. Δήμου Πάργας,123,51,0,1,1,50,13,2,1,6,1,24,9,1,9,2,1,0,0,0,5,1,0,1,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
21 - Πρέβεζας,68 E.T. Δήμου Πάργας,292,161,4,0,4,157,49,6,3,23,2,61,14,0,37,2,2,0,0,1,24,4,1,11,4,7,3,1,0,1,3,0,2,1,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,1,0
21 - Πρέβεζας,69 E.T. Δήμου Πάργας,370,169,0,0,0,169,89,10,23,35,0,44,20,0,21,3,1,0,0,0,19,2,1,2,7,9,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
21 - Πρέβεζας,70 E.T. Δήμου Πάργας,290,157,1,2,3,154,72,11,5,35,6,40,4,2,31,1,3,0,1,0,20,2,4,7,1,13,3,7,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21 - Πρέβεζας,71 E.T. Δήμου Πάργας,306,175,0,1,1,174,79,8,10,39,8,58,25,0,30,2,5,1,0,0,8,0,2,4,1,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,3,4,0,0,0,0,0
21 - Πρέβεζας,72 E.T. Δήμου Πάργας,325,178,0,0,0,178,82,5,7,39,7,54,20,0,22,1,5,1,1,2,6,0,1,0,2,22,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1
21 - Πρέβεζας,73 E.T. Δήμου Πάργας,308,104,0,0,0,104,36,7,1,6,2,60,13,2,36,0,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
21 - Πρέβεζας,74 E.T. Δήμου Πάργας,288,118,4,0,4,114,48,12,9,10,7,51,11,1,37,1,1,1,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1
21 - Πρέβεζας,75 E.T. Δήμου Πάργας,344,144,0,1,1,143,39,5,2,22,7,85,9,1,71,2,4,3,0,1,5,0,0,3,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
21 - Πρέβεζας,76 E.T. Δήμου Πάργας,281,121,0,0,0,121,40,11,2,18,5,61,7,0,52,0,4,2,0,0,5,0,3,0,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,0,0
