ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΕΟΠΕΦΤΑΤΟΥ ΑΦΡΟΔΙΤΗ του Χρήστου,ΜΠΑΤΙΣΤΑΤΟΣ ΑΡΙΣΤΟΤΕΛΗΣ του Διονυσίου,ΣΤΑΘΟΠΟΥΛΟΥ ΑΝΝΑ του Νικολάου,Νέα Δημοκρατία,ΑΛΕΞΑΝΔΡΑΤΟΥ ΒΙΚΤΩΡΙΑ του Πλούταρχου,ΚΑΠΠΑΤΟΣ ΠΑΝΑΓΗΣ του Σπυρίδωνος - Διονυσίου,ΚΟΚΚΟΛΗΣ ΓΕΩΡΓΙΟΣ (ΜΠΡΑΟΥΝΗΣ) του Σπυρίδωνος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΑΒΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΣΒΟΡΩΝΟΣ ΠΑΝΑΓΗΣ του Νικολάου,Κίνημα Αλλαγής,ΚΟΥΓΙΑΝΟΣ ΓΕΡΑΣΙΜΟΣ του Σπυρίδωνος,ΠΑΞΙΝΟΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΤΣΙΜΑΡΑ ΒΑΣΙΛΙΚΗ (ΒΙΚΥ) του Βαλεντίνου,Κ.Κ.Ε.,ΑΛΙΒΙΖΑΤΟΣ ΔΙΟΝΥΣΙΟΣ του Παναγή,ΜΑΝΤΖΟΥΡΑΤΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΠΟΤΑΜΙΑΝΟΥ ΣΟΦΙΑ του Φωτίου,Ένωση Κεντρώων,ΔΑΜΟΥ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΤΖΟΥΜΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΜΙΧΑΗΛΙΔΟΥ ΜΑΓΔΑΛΗΝΗ του Θεοδοσίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΪΤΑΝΙΔΟΥ ΕΥΑΝΘΙΑ του Γερασίμου - Δημητρίου,ΓΑΛΙΑΤΣΑΤΟΣ ΝΙΚΟΛΑΟΣ του Διονυσίου,ΛΟΥΡΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γερασίμου,Ελλήνων Συνέλευσις,ΜΕΤΑΞΑΣ ΓΙΑΝΝΗΚΩΣΤΑΣ του Όθωνος,Ελληνική Λύση - Κ. Βελόπουλος,ΑΤΣΑΡΟΣ ΧΡΙΣΤΟΧΡΟΝΗΣ του Σπυρογεράσιμου,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΒΛΑΧΟΣ ΓΑΒΡΙΗΛ του Παντελή,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΜΗΤΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΓΚΑΔΗΣ ΓΕΡΑΣΙΜΟΣ του Μιχαήλ,ΜέΡΑ25,ΜΑΝΩΛΑΤΟΣ ΓΑΒΡΙΗΛ του Αργυρίου,ΜΑΡΟΥΛΗ ΧΡΙΣΤΙΝΑ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΣΙΜΩΤΑΣ ΔΗΜΗΤΡΙΟΣ του Παναγή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΡΑΒΑΝΤΙΝΟΥ ΒΑΡΒΑΡΑ του Καίσαρα - Χοϊδά
28 - Κεφαλληνίας,59 E.T. Δήμου Αργοστολίου,595,233,3,3,6,227,52,23,18,3,88,17,45,16,9,3,1,3,31,4,0,18,11,6,1,1,1,1,0,0,0,0,0,0,0,0,0,12,6,0,2,1,0,0,0,1,1,1,1,15,4,5,3,2,2,1
28 - Κεφαλληνίας,60 E.T. Δήμου Αργοστολίου,504,226,9,2,11,215,22,17,3,1,122,27,56,29,7,3,1,0,26,0,0,24,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,10,4,2,1,0,0,0,0,2,1,1,0,7,2,2,0,0,11,5
28 - Κεφαλληνίας,61 E.T. Δήμου Αργοστολίου,356,123,1,0,1,122,24,12,2,6,61,9,20,27,2,0,0,1,6,2,0,4,12,6,4,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,6,2,2,2,1,4,2
28 - Κεφαλληνίας,62 E.T. Δήμου Σάμης,229,83,0,0,0,83,27,15,6,1,38,6,10,13,3,1,0,0,5,2,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28 - Κεφαλληνίας,63 E.T. Δήμου Σάμης,154,58,0,0,0,58,9,4,2,2,40,3,1,34,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
28 - Κεφαλληνίας,64 E.T. Δήμου Σάμης,182,65,2,1,3,62,16,11,2,1,40,8,9,21,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
28 - Κεφαλληνίας,65 E.T. Δήμου Σάμης,67,22,0,0,0,22,12,5,4,0,10,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 - Κεφαλληνίας,66 E.T. Δήμου Σάμης,202,55,1,1,2,53,14,8,2,0,34,4,7,23,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28 - Κεφαλληνίας,67 E.T. Δήμου Σάμης,271,71,0,2,2,69,13,9,1,0,20,5,1,14,0,0,0,0,8,1,0,0,18,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,3,0,0,2,2
28 - Κεφαλληνίας,68 E.T. Δήμου Σάμης,97,24,0,1,1,23,5,1,1,1,13,2,3,8,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
28 - Κεφαλληνίας,69 E.T. Δήμου Σάμης,203,84,1,0,1,83,14,12,2,0,49,8,15,20,3,0,0,0,0,0,0,0,7,0,2,3,2,1,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0
28 - Κεφαλληνίας,70 E.T. Δήμου Σάμης,187,31,0,0,0,31,11,2,1,1,12,2,6,2,0,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
28 - Κεφαλληνίας,71 E.T. Δήμου Σάμης,195,55,0,0,0,55,24,11,8,0,15,2,4,8,2,0,0,1,3,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,2,0
28 - Κεφαλληνίας,72 E.T. Δήμου Σάμης,118,40,1,0,1,39,13,4,2,2,16,1,2,13,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2
