ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Θωμά,ΒΑΓΕΝΑ ΚΗΛΑΗΔΟΝΗ ΑΝΝΑ χήρα Λουκιανού,ΓΕΛΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΖΩΓΡΑΦΟΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,ΚΑΡΙΠΙΔΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΚΟΚΚΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΑΛΗΟΓΙΑΝΝΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΙΤΗ) του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Αβραάμ,ΣΟΥΡΛΑΝΤΖΗ ΖΑΧΑΡΑΚΗ ΧΑΡΙΚΛΕΙΑ (ΡΟΥΛΑ) του Γεωργίου,ΧΡΗΣΤΟΥ ΧΡΥΣΟΥΛΑ του Χαράλαμπου,Νέα Δημοκρατία,ΑΔΑΜΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΑΞΙΟΓΛΟΥ ΕΛΕΝΗ (ΛΕΝΑ) του Ιωάννη,ΚΑΛΛΑ ΘΕΟΔΩΡΑ του Μάρκου,ΚΑΡΑΒΑΝΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΚΑΡΑΧΑΛΙΟΣ ΘΕΟΦΙΛΟΣ του Σωτηρίου,ΚΑΤΣΙΑΝΤΩΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΕΛΛΑΣ ΧΡΗΣΤΟΣ του Αχιλλέα,ΜΠΙΖΙΟΥ ΣΤΕΡΓΙΑΝΗ (ΣΤΕΛΛΑ) του Νικολάου,ΣΙΑΦΑΡΙΚΑ ΑΘΗΝΑ του Παύλου,ΤΖΑΝΑΚΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΧΑΡΑΚΟΠΟΥΛΟΣ ΜΑΞΙΜΟΣ του Παντελή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΗΣΗ ΖΑΧΑΡΟΥΛΑ του Κωνσταντίνου,ΛΑΜΠΡΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΛΙΑΠΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΜΠΙΛΛΗ-ΤΣΙΤΣΕ ΜΑΡΙΑ συζ. Γεωργίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ-ΔΟΥΚΑΣ ΝΙΚΟΛΑΟΣ-ΙΩΑΝΝΗΣ του Δημητρίου,ΤΖΟΥΤΣΑΣ ΠΕΤΡΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΑΓΟΡΙΤΣΑ ΦΑΝΗ του Θεόφιλου,ΓΑΛΛΙΟΥ ΜΑΡΙΑ του Ιωάννη,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Γρηγορίου,ΚΟΥΚΟΥΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΛΙΑΚΟΥΛΗ ΕΥΑΓΓΕΛΙΑ του Θεοφάνη,ΜΑΡΟΥ ΜΑΙΡΗ του Ιωάννη,ΜΠΑΡΓΙΩΤΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΣΑ) του Δημητρίου (Τάκη),ΣΑΧΙΝΙΔΗΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΤΟΛΙΚΑΣ ΜΙΧΑΗΛ του Στεργίου,ΤΣΙΤΑ ΒΑΣΙΛΙΚΗ του Γεωργίου,Κ.Κ.Ε.,ΑΒΡΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΑΡΖΟΜΑΝΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΓΑΒΑΛΑ ΜΑΡΙΑ του Ρωσσέτου,ΔΑΣΚΑΛΑΚΗ ΑΓΓΕΛΑ του Μιχαήλ,ΚΑΡΥΩΤΗ ΚΥΡΙΑΚΗ του Αθανασίου,ΚΡΙΚΗΣ ΠΕΤΡΟΣ του Χρήστου,ΛΑΜΠΡΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Αριστείδη,ΜΑΡΟΥΔΑΣ ΡΙΖΟΣ του Κυριαζή,ΠΑΣΧΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΤΣΙΑΠΛΕΣ ΑΝΑΣΤΑΣΙΟΣ του Θωμά,ΤΣΙΚΡΙΤΣΗΣ ΑΣΤΕΡΙΟΣ του Αντωνίου,Ένωση Κεντρώων,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΚΑΦΕΝΟΥΔΗ ΙΩΑΝΝΑ του Ευαγγέλου,ΛΕΚΚΟΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,ΜΑΝΤΕΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΑΣΙΚΑ ΖΩΗ του Ιωάννη,ΟΙΚΟΝΟΜΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΠΑΝΤΑΖΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΣΑΝΙΔΑ ΜΑΡΙΝΑ του Κωνσταντίνου,ΤΣΕΤΣΙΛΑΣ ΑΘΑΝΑΣΙΟΣ του Πέτρου,ΤΣΙΑΜΟΥΡΑ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΠΑΝΤΑΖΗΣ ΚΥΡΙΑΚΟΣ του Σάββα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΝΗΚΟΜΣΙΟΥ ΘΕΟΦΑΝΗΣ του Αποστόλου,ΚΑΡΑΝΑΣΤΑΣΗ ΑΙΚΑΤΕΡΙΝΗ του Χρήστου,ΣΙΟΥΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΤΣΑΜΟΥΡΗ ΦΩΤΕΙΝΗ του Ιωάννη,Ελλήνων Συνέλευσις,ΓΚΟΥΖΙΩΚΑΣ ΑΠΟΣΤΟΛΟΣ του Χρήστου,ΚΑΡΑΒΕΝΤΖΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΡΑΓΚΟΥΝΗ ΑΝΘΗ του Ιωάννη,ΝΑΚΟΥ ΛΑΜΠΡΙΝΗ του Απόστολου,ΝΤΟΥΛΑΠΤΣΗΣ ΓΕΩΡΓΙΟΣ του Παρασκευά,ΠΕΡΙΣΤΕΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ναπολέοντος,ΡΑΜΙΩΤΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΒΑΡΝΑΣ ΓΡΗΓΟΡΙΟΣ του Ιωάννη,ΣΙΔΗΡΟΠΟΥΛΟΥ ΣΟΦΙΑ του Γεωργίου,ΤΣΙΟΥΤΡΑ ΑΛΕΞΑΝΔΡΑ του Στεφάνου,ΦΩΤΙΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΚΑΜΠΟΖΗΣ ΠΑΡΑΣΧΟΣ (ΠΑΡΗΣ) του Θεοδώρου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΛΟΠΟΥΛΟΣ ΚΥΡΙΑΚΟΣ του Ιωσήφ,ΖΩΚΑΣ ΔΑΜΙΑΝΟΣ του Γρηγορίου,ΚΕΣΙΔΟΥ ΓΕΩΡΓΙΑ του Λαζάρου,ΚΟΚΚΑΣ ΑΝΔΡΕΑΣ του Θεοδώρου,ΚΩΤΣΟΠΟΥΛΟΥ ΜΑΡΙΑ του Αποστόλου,ΜΑΝΤΖΙΟΥ ΦΑΝΗ του Ιωάννη,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΜΠΑΛΑΤΣΑΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΝΑΣΙΚΑΣ ΝΑΣΟΥΛΙΑΣ του Γρηγορίου,ΣΔΡΟΛΙΑΣ ΛΑΜΠΡΟΣ του Γεωργίου,ΦΟΥΝΤΑ ΙΩΑΝΝΑ-ΜΑΡΙΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΖΥΓΟΓΙΩΡΓΟΣ ΝΙΚΟΛΑΟΣ του Αστερίου,ΚΑΝΑΚΗΣ ΜΙΧΑΗΛ του Πέτρου,ΚΟΚΚΙΝΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΜΑΝΤΑ ΣΤΥΛΙΑΝΗ του Χρήστου,ΧΑΤΖΗ ΑΓΓΕΛΙΚΗ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΖΑΡΔΑΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ-ΑΝΤΩΝΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΒΡΥΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΓΙΑΝΝΑΚΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΑΘΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΜΠΑΛΑΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΤΖΑΒΟΛΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΔΙΑΜΑΝΤΩ-ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΚΑΝΑΡΕΛΗ ΣΤΑΜΑΤΙΝΑ του Γεωργίου,ΛΟΚΑ ΠΟΛΥΞΕΝΗ (ΤΖΕΝΗ) του Βασιλείου,ΝΑΤΣΙΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΟΔΥΣΣΕΥΣ του Νικολάου,ΣΟΦΙΚΙΤΗΣ ΠΕΤΡΟΣ του Ανδρέα,ΦΟΙΝΙΚΙΑΔΗΣ ΜΙΧΑΗΛ του Αναστασίου,ΧΛΟΠΤΣΙΟΣ ΙΩΑΝΝΗΣ του Πασχάλη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΚΕΝΣ ΓΕΩΡΓΙΟΣ-ΡΕΝΕ του Ντέτλεφ,ΚΟΛΤΣΙΔΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΜΠΟΛΜΑΤΗ ΚΩΝΣΤΑΝΤΙΝΑ του Μιχαήλ,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΔΑΡΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΡΑΓΕΩΡΓΟΣ ΛΑΜΠΡΟΣ του Ταξιάρχη,ΣΚΡΕΤΑ ΔΕΣΠΟΙΝΑ του Ιωάννη,Ανεξάρτητοι Υποψήφιοι,ΝΤΡΙΓΚΟΓΙΑΣ ΧΡΗΣΤΟΣ του Βασιλείου
22 - Λάρισας,254 E.T. Δήμου Λαρισαίων,562,352,9,6,15,337,124,0,11,37,14,18,19,36,11,17,10,11,126,20,6,8,18,22,10,57,36,17,32,66,12,5,4,2,3,1,1,0,20,3,7,3,3,9,1,6,0,7,4,1,23,1,2,8,1,4,0,13,3,1,9,2,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,2,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,2,10,2,1,3,2,3,1,0,0,4,1,3,1,0,0,4,1,1,0,0
22 - Λάρισας,255 E.T. Δήμου Λαρισαίων,563,346,7,2,9,337,121,67,8,31,17,11,11,38,5,15,6,5,108,9,6,7,22,12,9,34,18,18,39,35,10,6,1,1,3,0,0,0,35,6,7,3,3,7,1,7,3,11,33,2,11,2,1,3,0,0,1,5,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,5,0,1,4,1,0,1,4,5,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,13,2,1,0,2,2,2,1,1,7,2,4,2,0,0,5,2,0,1,1
22 - Λάρισας,256 E.T. Δήμου Λαρισαίων,542,309,7,4,11,298,88,0,3,36,15,12,9,21,6,6,3,4,115,19,9,9,13,15,16,53,18,18,29,52,5,1,0,2,2,1,1,0,23,0,6,1,0,12,2,10,0,9,8,0,22,2,1,8,0,5,6,16,1,0,10,1,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,8,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,17,3,2,1,3,5,4,1,4,0,0,0,0,0,0,7,6,4,0,0
22 - Λάρισας,257 E.T. Δήμου Λαρισαίων,532,339,6,2,8,331,121,0,10,23,19,13,15,21,13,13,4,8,121,6,5,3,20,25,22,43,23,15,34,47,6,2,1,2,2,1,2,0,14,1,2,0,1,2,1,1,2,7,7,2,23,0,1,11,1,0,10,14,3,2,7,0,3,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,1,2,0,0,0,0,2,0,0,0,0,0,0,17,17,4,1,1,2,2,1,0,0,3,3,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,2,3,2,1,1,3,0,1,2,2,2,2,0,0,6,4,1,0,0
22 - Λάρισας,258 E.T. Δήμου Λαρισαίων,540,325,4,3,7,318,113,0,2,28,16,12,20,30,7,14,6,9,117,5,8,0,21,27,17,33,18,14,26,55,6,4,0,1,0,0,2,0,22,2,1,2,1,7,1,7,1,3,12,3,13,1,0,4,0,0,0,9,1,0,4,0,6,3,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,11,8,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,17,5,2,4,4,3,4,2,0,1,1,1,1,0,0,5,3,4,0,0
22 - Λάρισας,259 E.T. Δήμου Λαρισαίων,558,332,7,4,11,321,75,75,2,27,13,9,10,21,12,15,0,7,148,8,11,13,19,21,20,57,31,34,32,71,11,3,3,2,3,0,1,3,18,2,3,2,0,8,1,9,1,3,1,0,28,2,0,9,1,2,8,16,2,1,7,0,7,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,4,2,2,1,2,3,0,0,0,0,0,4,2,3,0,0
22 - Λάρισας,260 E.T. Δήμου Λαρισαίων,543,330,7,1,8,322,114,114,8,27,20,10,18,31,6,11,6,6,116,19,10,6,18,19,16,49,17,6,32,57,8,2,1,2,3,0,3,2,22,2,6,2,1,8,0,8,0,12,3,2,29,3,2,9,2,6,4,16,7,1,10,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,1,1,1,1,1,2,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,13,3,4,3,1,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0
22 - Λάρισας,261 E.T. Δήμου Λαρισαίων,533,338,5,1,6,332,106,0,6,24,16,15,12,26,10,6,0,8,140,8,2,1,21,19,13,72,20,13,39,33,6,4,0,3,2,1,0,1,16,0,3,1,3,5,2,9,0,3,4,0,33,5,1,11,5,2,5,16,4,2,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,7,5,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,1,1,1,2,1,2,0,0,0,6,1,2,0,0
22 - Λάρισας,262 E.T. Δήμου Λαρισαίων,544,337,1,1,2,335,120,120,14,40,30,12,19,31,15,22,8,17,112,7,7,2,5,16,22,49,24,12,36,52,9,5,3,2,3,1,1,1,20,3,7,0,3,8,0,8,0,7,7,1,27,1,4,8,3,7,6,17,0,2,8,1,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,12,12,2,0,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,1,0,5,0,1,1,2,0,19,4,2,4,6,5,2,2,2,2,0,2,0,0,0,3,3,1,0,0
22 - Λάρισας,263 E.T. Δήμου Λαρισαίων,563,343,6,2,8,335,109,0,7,27,12,16,13,21,11,10,4,7,125,8,5,13,16,22,22,51,22,21,20,45,10,4,2,1,5,2,2,0,27,5,7,1,6,12,2,9,0,3,4,1,17,1,1,7,1,1,2,9,0,0,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,3,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,1,2,2,1,1,0,1,8,1,3,1,0,0,5,2,1,1,0
22 - Λάρισας,264 E.T. Δήμου Λαρισαίων,534,343,7,2,9,334,119,69,1,32,20,18,18,35,14,11,13,12,115,12,3,8,20,23,24,43,22,16,26,39,13,8,2,4,5,4,2,1,21,0,8,0,2,6,0,7,1,11,4,2,19,0,1,8,0,2,3,12,3,2,9,1,6,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,17,4,2,4,0,5,4,1,1,4,1,2,1,0,0,6,3,4,0,0
22 - Λάρισας,265 E.T. Δήμου Λαρισαίων,532,340,4,2,6,334,107,47,6,26,20,11,20,22,7,12,4,7,117,15,11,8,17,21,12,58,15,17,27,56,7,1,1,1,3,1,1,0,36,8,5,1,1,14,1,7,0,12,16,0,16,7,2,12,1,1,2,8,1,0,8,0,7,5,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,18,12,5,2,0,4,0,2,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13,0,3,1,2,4,2,0,0,3,1,1,1,0,0,3,1,1,1,1
22 - Λάρισας,266 E.T. Δήμου Λαρισαίων,540,346,3,2,5,341,117,0,7,35,17,11,12,37,13,10,10,5,113,14,6,4,15,27,20,35,14,19,33,52,14,2,2,4,5,3,2,0,24,0,8,1,0,6,0,4,0,7,9,0,19,3,1,14,0,2,1,12,2,0,10,2,3,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,1,3,1,0,0,0,1,1,1,1,0,1,1,0,0,17,0,6,1,1,3,3,0,2,3,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,2,3,4,2,5,2,0,1,2,0,0,0,0,0,7,3,3,1,1
22 - Λάρισας,267 E.T. Δήμου Λαρισαίων,539,328,7,1,8,320,118,0,3,27,23,13,17,41,9,12,7,7,109,11,5,7,11,9,16,42,18,10,25,37,9,7,1,0,2,3,1,2,29,1,7,2,1,8,2,6,2,5,14,2,26,4,0,10,3,2,5,15,1,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,10,2,2,0,0,0,2,0,0,3,0,0,1,0,0,1,0,1,0,0
22 - Λάρισας,268 E.T. Δήμου Λαρισαίων,544,330,4,3,7,323,109,0,0,26,7,13,13,26,9,8,4,5,124,13,5,4,17,15,19,53,17,20,30,53,11,3,1,1,2,1,4,0,28,1,6,0,3,9,1,11,3,11,6,2,15,3,2,9,0,1,4,6,2,1,7,0,3,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,4,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,2,2,2,1,2,2,0,0,2,0,1,1,0,0,4,2,3,0,0
22 - Λάρισας,269 E.T. Δήμου Λαρισαίων,541,339,6,0,6,333,112,0,7,39,15,11,24,34,13,17,4,9,112,6,6,2,11,18,16,41,12,15,22,60,10,4,0,1,2,0,2,0,19,1,6,1,3,6,0,6,0,7,5,0,32,3,0,11,2,1,4,13,6,1,13,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,16,2,2,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,1,1,5,3,1,2,1,3,1,2,2,0,0,5,3,1,0,0
22 - Λάρισας,270 E.T. Δήμου Λαρισαίων,521,348,3,4,7,341,111,111,4,30,16,7,18,36,15,11,5,9,131,18,7,6,23,29,20,55,26,19,33,51,6,1,2,3,3,1,2,1,26,3,2,2,1,7,0,15,6,8,4,3,15,1,0,8,0,0,6,8,0,2,3,1,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,0,0,1,0,1,1,0,3,2,0,0,0,0,0,0,1,1,2,1,3,1,0,0,0,0,16,4,1,3,0,5,1,2,0,5,0,3,0,0,0,7,5,2,0,0
22 - Λάρισας,271 E.T. Δήμου Λαρισαίων,564,360,5,3,8,352,130,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
22 - Λάρισας,272 E.T. Δήμου Λαρισαίων,525,334,5,1,6,328,99,0,6,31,18,25,8,33,13,9,2,3,160,23,6,7,32,29,18,71,27,16,34,83,5,1,1,0,3,0,2,1,12,3,4,2,1,4,0,7,0,2,1,1,17,0,0,5,0,1,4,6,2,0,4,0,5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,1,2,1,1,0,3,1,0,2,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,4,0,0,1,1,0,0,1,0,1,0,1,0,0,0,5,1,2,0,0
22 - Λάρισας,273 E.T. Δήμου Λαρισαίων,524,330,6,2,8,322,111,0,10,36,22,13,15,27,11,11,5,8,125,13,6,6,27,18,17,51,29,23,22,48,10,3,2,2,2,0,0,1,25,0,5,0,0,14,0,16,1,8,6,0,14,0,1,1,0,0,6,8,1,1,4,1,3,0,1,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,10,7,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,12,0,3,3,1,3,2,2,0,2,1,1,0,0,0,2,1,0,2,2
22 - Λάρισας,274 E.T. Δήμου Λαρισαίων,550,345,3,4,7,338,101,48,5,29,22,10,19,19,10,9,11,7,131,9,8,19,0,27,12,52,28,21,41,53,12,3,3,4,4,2,7,0,24,1,9,2,0,9,0,13,2,7,5,1,24,0,2,10,5,6,5,8,4,9,5,3,5,3,1,1,0,0,1,0,0,0,1,0,0,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,7,2,1,0,1,2,1,1,2,2,0,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,10,2,1,2,0,0,1,0,0,6,2,5,2,0,0,4,2,1,0,0
22 - Λάρισας,275 E.T. Δήμου Λαρισαίων,533,356,11,1,12,344,119,0,4,22,23,10,13,37,13,4,6,2,123,11,7,8,22,21,15,47,21,24,43,53,8,2,2,1,2,1,0,0,23,1,7,3,2,6,0,7,2,7,2,2,22,2,2,11,2,1,6,11,2,0,6,0,2,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,15,15,0,2,1,0,0,2,1,1,2,2,1,1,1,0,0,1,1,0,2,0,1,1,1,0,1,0,12,3,1,2,0,5,1,1,2,3,1,2,1,0,0,6,4,3,2,2
22 - Λάρισας,276 E.T. Δήμου Λαρισαίων,549,333,4,3,7,326,109,58,5,21,22,18,11,27,11,4,5,5,123,14,9,3,19,27,16,37,19,15,41,52,11,3,2,3,4,3,3,1,33,6,9,1,1,10,3,15,2,11,4,3,11,0,0,1,1,0,2,6,4,0,4,0,7,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,0,2,0,2,0,0,1,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,1,0,2,0,1,1,4,2,3,1,0,0,8,5,6,0,0
22 - Λάρισας,277 E.T. Δήμου Λαρισαίων,531,327,0,3,3,324,97,97,6,24,28,11,18,29,7,7,5,6,147,15,8,10,26,28,22,69,24,13,34,48,9,2,0,1,5,2,1,0,14,1,5,1,0,5,0,2,0,1,0,1,12,0,0,1,1,1,3,6,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,12,1,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,4,2,5,8,1,2,5,3,1,3,1,0,0,4,3,2,0,0
