ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΠΑΛΤΑΓΙΑΝΝΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου,ΜΠΟΥΤΑΣΗ ΙΩΑΝΝΑ του Χρήστου,ΤΕΛΙΓΙΟΡΙΔΟΥ ΟΛΥΜΠΙΑ του Ιωάννη,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΝΔΥΛΗ ΑΓΝΗ του Ανδρέα,ΤΖΗΚΑΛΑΓΙΑΣ ΖΗΣΗΣ του Γεωργίου,ΤΣΙΦΛΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΟΥΠΙΔΟΥ ΕΥΑΝΘΙΑ του Μιχαήλ,ΓΡΑΤΣΙΑΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΤΟΥΦΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΙΑ του Ζήση,ΖΥΜΠΙΔΗΣ ΘΕΟΦΥΛΑΚΤΟΣ του Παναγιώτη,ΠΕΤΡΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΤΣΑΛΟΥΚΙΔΟΥ ΑΘΗΝΑ του Αχιλλέα,Κ.Κ.Ε.,ΑΘΑΝΑΣΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΓΡΑΜΜΕΝΟΥ ΓΙΑΝΝΟΥΛΑ (ΑΝΝΕΤΑ) του Γεωργίου,ΖΕΓΑ ΓΕΩΡΓΙΑ του Πασχάλη,ΚΑΝΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,Ένωση Κεντρώων,ΒΑΣΙΛΕΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ-ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,ΜΑΡΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΚΟΥΛΟΓΛΟΥ Ελισάβετ του Αλκιβιάδη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑ ΑΘΗΝΑ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΥΡΑ ΑΦΡΟΔΙΤΗ του Μιχαήλ,ΠΑΤΣΙΟΣ ΓΡΗΓΟΡΗΣ του Μιχάλη,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΕΣΤΗΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΡΑΜΗΤΡΟΣ ΓΙΑΝΝΗΣ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΚΑΡΕΛΑ ΓΕΩΡΓΙΑ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΥΛΙΟΡΔΟΥ ΜΥΡΤΩ του Αθανασίου,ΠΑΠΑΣΤΕΡΓΙΟΥ ΑΛΚΙΒΙΑΔΗΣ του Γεωργίου,ΠΑΧΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΛΙΟΥΖΑΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΜέΡΑ25,ΚΑΡΟΥΛΗ ΦΙΛΙΑ του Δημητρίου,ΜΟΣΧΟΣ ΘΩΜΑΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΟΥΔΗΣ ΝΑΟΥΜ του Βασιλείου,ΜΑΝΟΥ Αλεξάνδρα του Ορφέως - Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΟΥΣΤΑΜΠΑΣΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιλτιάδη
16 - Καστοριάς,122 E.T. Δήμου Άργους Ορεστικού,233,103,0,0,0,103,26,0,7,0,14,63,22,6,18,11,2,0,1,0,3,0,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0
16 - Καστοριάς,123 E.T. Δήμου Άργους Ορεστικού,238,115,0,1,1,114,45,0,10,0,33,44,12,15,11,4,2,0,0,1,9,0,5,1,0,4,2,1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,2,2
16 - Καστοριάς,124 E.T. Δήμου Άργους Ορεστικού,266,77,2,0,2,75,30,2,6,1,18,21,13,0,6,0,2,0,1,0,8,0,1,0,5,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0
16 - Καστοριάς,125 E.T. Δήμου Άργους Ορεστικού,236,120,0,1,1,119,30,1,12,3,8,67,23,5,25,10,3,0,0,3,6,1,1,0,2,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,3,2
16 - Καστοριάς,126 E.T. Δήμου Άργους Ορεστικού,583,322,3,1,4,318,80,2,17,0,50,154,70,19,47,11,6,0,2,2,32,6,7,7,1,7,0,5,0,0,7,0,0,0,0,2,0,0,0,0,8,2,1,3,0,0,0,0,8,0,0,0,0,0,11,1,7,3,0,0,0,0
16 - Καστοριάς,127 E.T. Δήμου Άργους Ορεστικού,362,169,4,1,5,164,19,5,2,1,7,105,25,15,37,23,13,1,8,2,5,1,2,1,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,8,0
16 - Καστοριάς,128 E.T. Δήμου Άργους Ορεστικού,213,87,1,1,2,85,18,0,7,1,7,48,28,4,7,5,5,1,2,1,2,0,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,3,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0
16 - Καστοριάς,129 E.T. Δήμου Άργους Ορεστικού,240,100,0,0,0,100,29,0,9,1,19,31,7,1,17,4,1,0,0,1,21,2,2,11,3,0,0,0,0,0,4,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,7,2,2,0,1,1,1,0,1,0,0,0,0,0
16 - Καστοριάς,130 E.T. Δήμου Άργους Ορεστικού,192,91,2,1,3,88,33,1,12,0,19,37,14,4,10,6,0,0,0,0,3,1,0,1,0,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0
16 - Καστοριάς,131 E.T. Δήμου Άργους Ορεστικού,298,131,4,3,7,124,45,0,18,1,22,47,14,3,12,5,0,0,0,0,20,11,1,4,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,1,1,0,1,0
16 - Καστοριάς,132 E.T. Δήμου Άργους Ορεστικού,445,207,5,3,8,199,38,5,7,1,21,107,13,28,60,2,7,0,1,3,16,11,1,0,3,15,11,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,4,0
16 - Καστοριάς,133 E.T. Δήμου Άργους Ορεστικού,544,287,3,0,3,284,56,2,19,0,29,167,21,33,99,7,13,0,0,6,14,10,1,0,0,18,13,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,4,0,0,4,0
16 - Καστοριάς,134 E.T. Δήμου Άργους Ορεστικού,644,416,4,2,6,410,119,1,32,4,60,193,52,26,74,34,27,6,7,9,24,2,10,4,3,5,0,1,0,0,4,0,0,0,0,0,0,1,0,0,18,5,3,0,0,0,0,0,1,0,0,0,3,0,9,0,6,0,0,0,6,0
16 - Καστοριάς,135 E.T. Δήμου Άργους Ορεστικού,455,212,1,0,1,211,69,0,30,1,29,101,47,4,39,4,7,1,0,4,5,1,0,0,0,12,0,11,0,0,2,2,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,1,1,0
16 - Καστοριάς,136 E.T. Δήμου Άργους Ορεστικού,537,283,7,1,8,275,71,4,22,2,38,158,49,5,76,19,6,0,1,1,5,1,0,1,1,12,2,9,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,12,2,10,1,0,0,3,0
16 - Καστοριάς,137 E.T. Δήμου Άργους Ορεστικού,529,267,5,0,5,262,76,2,22,4,38,113,11,14,47,31,16,0,5,3,17,0,10,0,3,11,1,3,0,1,2,0,0,0,0,0,0,0,0,0,10,4,3,1,0,0,0,0,0,0,0,0,0,0,12,2,3,3,1,0,2,0
16 - Καστοριάς,138 E.T. Δήμου Άργους Ορεστικού,580,260,5,0,5,255,53,0,17,3,17,133,12,24,69,26,14,2,1,3,16,0,13,1,2,3,1,1,0,1,4,0,0,0,0,0,0,0,0,0,13,4,0,2,0,0,0,0,0,0,0,0,0,0,6,1,2,8,0,0,5,0
16 - Καστοριάς,139 E.T. Δήμου Άργους Ορεστικού,414,260,5,3,8,252,75,1,23,0,40,125,33,12,48,24,5,1,0,4,16,5,7,3,0,9,0,5,1,1,5,1,0,0,0,1,0,2,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,3,2
16 - Καστοριάς,Ετερ. Καστοριάς (από 15ο Ε.Τ. Νομ. Θεσσαλονίκης),225,142,2,0,2,140,27,3,4,2,8,71,19,7,19,9,7,2,3,1,11,6,0,0,0,6,2,1,1,0,3,1,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,3,0,0,0,0,0,6,3,2,0,0,0,0,0
16 - Καστοριάς,Ετερ. Καστοριάς (από Εφετείο Θεσσαλονίκης),67,34,0,0,0,34,9,0,1,2,2,17,1,4,5,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16 - Καστοριάς,Ετερ. Καστοριάς (από 79ο Ε.Τ. Νομ. Αττικής-Αθηνών),190,105,3,0,3,102,32,1,9,2,13,45,11,8,11,5,4,0,3,0,6,1,0,0,3,4,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,1,0
Σύνολο,,62591,31398,410,224,634,30764,8338,211,2339,187,4736,15452,4680,1852,4906,3077,916,151,176,347,2155,263,960,292,233,777,79,187,83,196,337,46,19,7,0,69,12,114,8,28,839,202,99,198,15,3,10,0,132,4,16,1,77,5,918,99,521,296,45,19,312,41
