ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΓΛΙΑ ΕΙΡΗΝΗ του Νικολάου,ΚΑΚΛΑΜΑΝΗΣ ΝΙΚΟΛΑΟΣ του Σταματίου,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Νέα Δημοκρατία,ΚΑΡΑΓΙΑΝΝΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΣΤΕΦΑΝΑΔΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Ισίδωρου,ΣΤΕΦΑΝΗΣ ΝΙΚΟΛΑΟΣ του Αριστόδημου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΑΒΙΤΣΑΝΟΣ ΒΑΣΙΛΕΙΟΣ του Ζώη,Κίνημα Αλλαγής,ΒΟΥΛΓΑΡΗ ΝΙΚΗ του Ευαγγέλου,ΓΑΪΤΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αβέρκιου,ΚΟΥΜΑΣ ΕΛΕΥΘΕΡΙΟΣ του Χριστόδουλου,Κ.Κ.Ε.,ΒΡΥΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΚΑΡΟΥΤΣΟΣ ΦΑΝΟΥΡΙΟΣ του Θεοδώρου,ΠΕΡΡΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,Ένωση Κεντρώων,ΜΑΣΤΡΑΠΑ ΑΓΑΘΗ του Αθανασίου,ΠΑΛΤΑΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΛΑΓΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΛΟΥΚΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,Ελλήνων Συνέλευσις,ΔΟΜΑΝΗ ΕΥΔΟΚΙΑ του Αριστείδη - Ευάγγελου,ΣΤΑΜΑΤΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Κωνσταντίνου,ΤΣΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΙΑΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σπυρίδωνος,ΚΟΥΤΖΑΣ ΑΝΔΡΕΑΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΚΕΛΕΣΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΝΙΚΟΛΑΟΥ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,ΠΑΠΑΚΩΣΤΑ ΜΥΡΤΩ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΟΡΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παντελή,Λαϊκή Ενότητα,ΚΡΑΤΣΑ ΕΥΓΕΝΙΑ του Δημητρίου,ΜΠΟΥΣΟΥΛΑΣ ΖΑΧΑΡΙΑΣ του Θεοδώρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ - ΣΤΑΘΑΚΙΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΑΝΔΡΕΟΥ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΤΡΥΠΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΞΕΝΑΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ
50 - Σάμου,62 E.T. Δήμου Ανατολικής Σάμου,442,256,8,3,11,245,46,4,20,9,103,15,25,55,27,11,15,3,1,5,23,2,3,11,4,0,0,0,0,0,0,3,1,1,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,6,3
50 - Σάμου,63 E.T. Δήμου Ανατολικής Σάμου,496,247,6,5,11,236,38,5,24,5,110,17,34,52,13,9,14,1,2,10,31,3,2,18,5,1,2,1,0,0,0,2,1,1,0,5,2,1,1,0,0,1,2,1,0,0,0,0,0,0,8,7,4,2,2,2
50 - Σάμου,64 E.T. Δήμου Ανατολικής Σάμου,541,193,0,2,2,191,41,2,26,4,85,23,19,34,8,2,24,0,1,19,8,4,0,4,1,0,0,1,1,0,0,2,2,0,0,13,7,2,0,0,0,0,0,0,4,3,0,0,0,0,3,1,0,0,1,0
50 - Σάμου,65 E.T. Δήμου Ανατολικής Σάμου,453,274,4,7,11,263,53,13,15,3,109,28,31,25,16,7,22,2,3,12,21,8,0,5,2,1,0,0,0,3,2,6,2,0,0,7,0,1,1,0,0,0,0,0,6,2,0,0,0,0,6,3,4,2,7,0
50 - Σάμου,66 E.T. Δήμου Ανατολικής Σάμου,542,226,7,4,11,215,45,5,19,2,80,13,19,41,16,6,31,0,0,24,19,4,1,5,2,0,0,0,0,1,1,1,1,0,0,3,0,2,1,0,0,0,0,0,8,6,1,0,0,0,6,3,0,0,1,0
50 - Σάμου,67 E.T. Δήμου Ανατολικής Σάμου,456,235,5,1,6,229,73,10,35,9,85,15,14,53,6,3,10,3,0,4,9,5,1,1,4,1,0,0,0,0,0,1,1,0,0,11,5,3,2,0,0,0,0,0,7,4,1,1,0,0,9,2,4,2,7,5
50 - Σάμου,68 E.T. Δήμου Ανατολικής Σάμου,452,239,3,2,5,234,68,3,33,4,95,13,25,51,7,3,13,1,2,5,19,10,4,1,2,0,1,0,0,1,0,0,0,0,0,8,3,3,1,0,1,0,0,0,6,3,0,0,0,0,6,2,1,0,7,1
50 - Σάμου,69 E.T. Δήμου Ανατολικής Σάμου,443,226,1,4,5,221,63,9,36,4,91,9,11,64,16,4,8,1,0,5,7,3,0,0,0,0,0,0,0,0,0,1,0,0,1,9,6,2,2,0,0,0,0,0,2,1,0,0,0,0,4,2,10,2,8,3
50 - Σάμου,70 E.T. Δήμου Ανατολικής Σάμου,436,252,5,1,6,246,61,11,30,6,110,18,21,61,12,4,15,5,0,5,17,9,0,5,1,1,0,0,0,0,0,0,0,0,0,10,4,0,4,0,2,0,0,0,3,2,1,0,0,0,7,3,1,1,4,0
50 - Σάμου,71 E.T. Δήμου Ανατολικής Σάμου,401,188,4,4,8,180,46,8,15,10,72,19,13,35,11,4,18,0,1,15,10,5,1,3,1,1,0,0,0,0,0,4,4,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,9,8
50 - Σάμου,72 E.T. Δήμου Ανατολικής Σάμου,482,206,1,1,2,204,67,7,30,14,85,16,15,52,4,3,11,1,1,7,13,7,0,5,1,0,1,0,0,0,0,6,4,1,0,11,2,4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0
50 - Σάμου,73 E.T. Δήμου Ανατολικής Σάμου,419,165,7,0,7,158,42,7,22,5,82,25,23,29,4,3,7,0,0,5,10,6,0,1,2,1,1,0,0,0,0,1,1,0,0,6,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2
50 - Σάμου,74 E.T. Δήμου Ανατολικής Σάμου,197,91,3,1,4,87,23,7,8,1,38,6,8,23,2,0,2,0,0,0,13,7,2,3,3,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
50 - Σάμου,75 E.T. Δήμου Ανατολικής Σάμου,268,272,7,2,9,263,81,23,23,8,94,21,15,34,16,8,20,1,2,12,15,7,4,0,5,1,2,0,0,0,0,1,0,1,0,18,4,5,2,1,0,0,0,0,1,0,0,0,0,0,5,1,2,1,3,2
