ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΛΑΘΥΡΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΠΕΡΜΠΕΡΗΣ ΜΩΥΣΗΣ του Γεωργίου,ΣΚΟΝΔΡΙΑΝΟΥ ΧΡΥΣΟΥΛΑ του Νικολάου,Νέα Δημοκρατία,ΚΟΝΤΟΓΕΩΡΓΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΛΑΠΠΑΣ ΚΛΕΟΜΕΝΗΣ (ΜΕΝΙΟΣ) του Κωνσταντίνου,ΟΙΚΟΝΟΜΟΥ ΘΩΜΑΪΣ (ΤΖΙΝΑ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΙΩΑΝΝΟΥ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Στεφάνου,ΣΙΑΚΑΒΕΛΑ ΙΩΑΝΝΑ -ΣΜΑΡΑΓΔΑ του Ιωάννη,Κ.Κ.Ε.,ΓΙΑΝΝΟΥΛΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΠΑΡΟΪΔΑΜΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΕΛΠΙΔΑ του Σπύρου,Ένωση Κεντρώων,ΜΠΑΚΑ ΧΡΙΣΤΙΝΑ του Αθανασίου,ΠΑΝΑΓΙΩΤΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,Ελλήνων Συνέλευσις,ΨΩΡΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΤΣΟΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΟΙΚΟΝΟΜΟΥ ΧΡΙΣΤΙΑΝΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΖΗΣΗΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΨΕΥΤΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,Λαϊκή Ενότητα,ΦΑΡΜΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΜέΡΑ25,ΤΡΑΓΟΠΟΥΛΟΣ ΣΠΥΡΟΣ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΝΙΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία
34 - Ευρυτανίας,69 E.T. Δήμου Καρπενησίου,558,335,7,1,8,327,121,18,69,2,132,36,54,38,4,4,37,7,18,2,8,3,2,1,3,1,1,0,0,1,1,1,1,5,1,1,2,2,0,0,0,0,1,1,6,6,0,0,6,6
34 - Ευρυτανίας,70 E.T. Δήμου Καρπενησίου,530,317,11,0,11,306,118,18,69,5,118,27,42,46,6,2,20,1,13,0,8,1,2,2,2,0,2,0,0,2,0,0,0,11,0,1,0,0,0,0,0,0,2,2,11,5,2,1,6,5
34 - Ευρυτανίας,71 E.T. Δήμου Καρπενησίου,532,330,11,3,14,316,112,10,76,6,136,44,40,48,4,2,27,0,22,0,14,2,3,2,1,0,0,0,0,2,1,0,0,7,2,3,0,0,0,0,0,0,1,0,4,1,4,1,4,0
34 - Ευρυτανίας,72 E.T. Δήμου Καρπενησίου,534,319,4,6,10,309,92,12,58,5,144,56,42,41,3,2,33,0,29,1,12,0,9,0,1,0,0,0,0,3,0,0,0,10,3,1,0,0,0,0,1,1,0,0,9,0,0,0,1,1
34 - Ευρυτανίας,73 E.T. Δήμου Καρπενησίου,534,351,4,4,8,343,106,15,59,6,162,54,48,51,5,1,30,3,19,4,4,1,2,0,7,2,0,0,0,2,1,0,0,10,5,1,0,0,0,0,0,0,1,0,9,3,6,2,1,0
34 - Ευρυτανίας,74 E.T. Δήμου Καρπενησίου,530,302,6,5,11,291,90,10,53,5,139,57,54,25,7,3,20,0,10,2,5,0,1,0,2,0,0,0,0,2,1,0,0,6,4,0,0,0,0,0,4,1,1,0,6,2,3,0,6,3
34 - Ευρυτανίας,75 E.T. Δήμου Καρπενησίου,536,315,1,2,3,312,87,16,52,2,159,54,58,39,2,1,16,3,11,0,10,2,5,1,8,2,3,0,0,3,1,0,0,7,2,2,0,0,0,0,1,1,0,0,10,2,6,3,3,2
34 - Ευρυτανίας,76 E.T. Δήμου Καρπενησίου,192,113,1,0,1,112,26,2,14,1,50,16,15,16,3,1,20,1,16,1,7,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0
34 - Ευρυτανίας,77 E.T. Δήμου Καρπενησίου,194,101,0,1,1,100,39,5,20,2,32,13,10,9,0,0,19,0,15,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
34 - Ευρυτανίας,78 E.T. Δήμου Καρπενησίου,281,145,3,0,3,142,63,21,24,7,57,21,19,13,1,0,15,3,7,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
34 - Ευρυτανίας,79 E.T. Δήμου Καρπενησίου,275,78,1,0,1,77,20,8,5,3,43,24,5,14,0,0,7,2,4,1,2,0,2,0,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,80 E.T. Δήμου Καρπενησίου,142,63,0,0,0,63,14,10,3,0,43,13,14,15,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
34 - Ευρυτανίας,81 E.T. Δήμου Καρπενησίου,75,36,0,0,0,36,19,7,10,0,10,3,1,4,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
