ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΑΚΟΝΤΑΕΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΚΑΤΩΠΟΔΗ ΖΩΗ (ΖΕΤΑ) του Αγγέλου,ΣΤΑΥΡΑΚΑ ΜΑΥΡΕΤΑ του Ιωάννη,Νέα Δημοκρατία,ΑΥΓΕΡΙΝΟΥ ΓΕΩΡΓΙΑ του Βησσαρίωνος,ΚΑΒΒΑΔΑΣ ΑΘΑΝΑΣΙΟΣ του Ιωάννη,ΚΑΤΩΠΟΔΗ ΑΡΓΥΡΗ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΛΟΓΓΙΟΣ ΧΡΗΣΤΟΣ του Διονυσίου,Κίνημα Αλλαγής,ΚΩΝΣΤΑΝΤΙΝΙΔΗ - ΡΕΚΑΤΣΙΝΑ ΣΕΒΑΣΤΗ του Αλεξάνδρου,ΛΟΥΒΡΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σπυροφάνη,ΡΑΠΤΗΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνος,Κ.Κ.Ε.,ΒΕΡΓΙΝΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΒΕΡΟΙΩΤΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΛΑ ΚΑΡΥΔΗ ΔΑΝΑΗ του Έκτορα - Ευγένιου,Ένωση Κεντρώων,ΓΑΛΛΟΥ ΠΑΝΑΓΙΩΤΑ του Αδάμ,ΛΟΥΚΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΓΟΥΤΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΣΤΑΥΡΟΥΛΑΚΗΣ ΑΝΑΡΓΥΡΟΣ του Μιχαήλ,ΦΕΡΕΝΤΙΝΟΥ ΑΝΑΣΤΑΣΙΑ (ΤΑΣΙΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΣΤΗ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΚΤΕΝΑΣ ΓΕΩΡΓΙΟΣ του Παντελή,Κ.Κ.Ε. (μ-λ),ΕΥΘΥΜΙΟΥ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΜΑΚΡΙΔΗΣ ΙΩΑΝΝΗΣ του Χρήστου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΛΟΓΟΘΕΤΗ ΕΛΕΝΗ του Δημητρίου,Λαϊκή Ενότητα,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Λάμπρου,ΜέΡΑ25,ΧΑΡΚΙΟΛΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου
27 - Λευκάδας,63 E.T. Δήμου Λευκάδας,524,285,2,4,6,279,99,42,28,14,112,8,79,20,4,4,29,4,1,21,23,5,4,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,3,3,2,2,2,2,2,2
27 - Λευκάδας,64 E.T. Δήμου Λευκάδας,368,209,2,3,5,204,72,19,11,26,57,14,29,8,1,0,17,2,0,10,46,12,0,7,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,1,1
27 - Λευκάδας,65 E.T. Δήμου Λευκάδας,371,207,7,3,10,197,74,32,9,17,51,19,20,10,2,0,18,2,1,12,42,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,2,0,0,1,0
27 - Λευκάδας,66 E.T. Δήμου Λευκάδας,176,111,2,1,3,108,43,16,2,12,28,4,17,4,2,0,16,4,2,8,9,5,1,2,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,0,0,0,1,1,1,0,0,0
27 - Λευκάδας,67 E.T. Δήμου Λευκάδας,150,56,0,0,0,56,19,7,4,5,22,5,14,2,0,0,8,3,1,4,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27 - Λευκάδας,68 E.T. Δήμου Λευκάδας,520,210,0,1,1,209,55,27,8,11,63,3,43,15,2,2,20,3,1,13,46,8,7,13,0,0,0,1,1,10,3,1,3,1,1,0,0,0,0,0,0,1,1,6,6,0,0,2,2
27 - Λευκάδας,69 E.T. Δήμου Λευκάδας,386,213,3,0,3,210,68,18,9,24,66,5,47,14,6,3,29,5,0,22,28,7,5,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1,1,7,3,0,0,1,0
27 - Λευκάδας,70 E.T. Δήμου Λευκάδας,282,134,0,0,0,134,43,20,2,14,61,6,39,9,0,0,12,1,0,9,5,3,0,1,0,0,0,0,0,0,0,0,5,1,1,1,0,1,0,1,1,0,0,1,0,0,0,4,1
27 - Λευκάδας,71 E.T. Δήμου Λευκάδας,353,170,4,2,6,164,56,14,9,24,59,2,33,17,3,2,27,5,2,17,4,0,0,1,1,0,0,0,0,2,0,0,2,0,2,0,0,1,0,1,0,0,0,6,2,0,0,2,1
27 - Λευκάδας,72 E.T. Δήμου Λευκάδας,292,182,3,1,4,178,56,28,13,13,67,3,44,16,2,0,20,2,6,11,22,3,3,12,1,0,1,0,0,0,0,0,3,0,3,1,0,1,1,0,0,1,0,2,0,0,0,2,1
27 - Λευκάδας,73 E.T. Δήμου Λευκάδας,257,122,2,3,5,117,37,6,3,16,36,1,18,12,2,0,20,4,1,12,11,0,1,1,3,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,2,0,1,1,1,0
27 - Λευκάδας,74 E.T. Δήμου Μεγανησίου,420,195,2,1,3,192,59,20,16,10,89,49,31,6,3,2,21,7,4,7,11,3,3,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0
27 - Λευκάδας,75 E.T. Δήμου Μεγανησίου,468,205,3,0,3,202,66,22,13,6,91,70,18,2,0,0,19,7,1,8,21,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
27 - Λευκάδας,76 E.T. Δήμου Μεγανησίου,523,263,2,1,3,260,91,31,19,11,100,68,22,3,1,0,25,5,0,17,28,3,4,4,2,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,8,1,0,0,2,0
27 - Λευκάδας,77 E.T. Δήμου Μεγανησίου,434,212,0,1,1,211,64,16,6,6,83,36,31,13,2,0,26,17,0,4,20,4,2,1,3,0,3,0,0,3,0,2,1,0,1,0,0,1,0,1,0,0,0,6,2,0,0,1,0
27 - Λευκάδας,78 E.T. Δήμου Μεγανησίου,339,148,0,0,0,148,27,9,7,6,72,29,36,3,3,1,18,16,0,1,16,6,2,1,2,1,0,0,0,1,0,1,2,1,0,0,0,1,1,0,0,0,0,6,2,0,0,0,0
27 - Λευκάδας,Ετερ. Λευκάδας (από Εφετείο Θεσσαλονίκης),56,39,0,0,0,39,9,4,1,2,16,2,10,3,0,0,4,1,0,3,3,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,2,1
27 - Λευκάδας,Ετερ. Λευκάδας (από 106ο Ε.Τ. Νομ. Αττικής-Αθηνών),458,291,1,0,1,290,90,23,29,23,118,21,68,24,2,2,30,2,7,14,22,7,0,5,5,0,3,0,0,1,0,1,2,0,2,0,0,0,0,1,1,2,2,13,11,2,2,2,2
27 - Λευκάδας,Ετερ. Λευκάδας (από 107ο Ε.Τ. Νομ. Αττικής-Αθηνών),448,297,3,0,3,294,111,54,20,12,103,13,62,17,2,2,22,6,1,11,27,2,1,9,2,2,0,0,0,3,0,2,3,1,1,0,0,0,0,0,0,3,2,14,4,3,0,1,1
27 - Λευκάδας,Ετερ. Λευκάδας (από 20ο Ε.Τ. Νομ. Αττικής-Πειραιώς),128,84,0,2,2,82,17,3,5,2,38,10,23,2,1,1,4,2,0,2,6,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,11,3,1,1,1,1
Σύνολο,,30318,15600,215,109,324,15276,4307,1620,807,860,6778,824,4366,1146,279,112,1466,381,104,765,1247,271,252,233,106,32,21,4,1,87,15,13,198,29,95,11,2,13,6,51,22,62,39,429,174,79,36,159,65
