ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΟΥΤΣΗΣ ΙΩΑΝΝΗΣ του Αποστόλου,ΘΕΛΕΡΙΤΗ ΜΑΡΙΑ του Παναγιώτη,ΠΕΤΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΤΣΟΓΚΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΦΙΛΙΠΠΑΚΗ ΣΟΦΙΑ του Ανδρέα,ΨΥΧΟΓΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΑΝΑΓΝΩΣΤΑΡΑ ΣΟΦΙΑ του Παναγιώτη,ΔΗΜΑΣ ΧΡΙΣΤΟΣ του Σταύρου,ΚΟΛΛΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ταξιάρχου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ του Ιωάννη,ΣΟΥΚΟΥΛΗ-ΒΙΛΙΑΛΗ ΜΑΡΙΑ ΕΛΕΝΗ (ΜΑΡΙΛΕΝΑ) του Δημητρίου,ΤΑΓΑΡΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΑΝΔΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΑΡΓΥΡΟΠΟΥΛΟΥ ΣΟΦΙΑ του Δημητρίου,ΜΑΡΚΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Αναστασίου,ΣΕΪΤΑΝΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΤΣΙΟΓΚΑ ΠΑΡΑΣΚΕΥΗ του Αθανασίου,Κίνημα Αλλαγής,ΑΝΔΡΕΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΓΚΙΛΙΤΣΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΔΗΜΑ ΜΑΡΓΑΡΙΤΑ του Νικολάου,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανέστη,ΦΑΡΜΑΚΗ-ΓΚΕΚΗ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΧΑΝΙΑΣ ΝΙΚΟΛΑΟΣ του Ηλία,Κ.Κ.Ε.,ΑΛΩΝΙΣΤΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Αντωνίου,ΚΑΖΑΚΟΠΟΥΛΟΥ ΑΝΘΙΠΠΗ του Αργυρίου,ΚΕΛΛΑΡΗΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΛΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΜΠΟΖΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΤΖΕΚΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,Ένωση Κεντρώων,ΜΑΡΑ ΑΝΝΑ του Νίκο,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,ΤΟΜΑΡΑΣ ΑΘΑΝΑΣΙΟΣ του Μιλτιάδη,Ο.Κ.Δ.Ε.,ΕΡΗΜΑΚΗ ΑΝΑΣΤΑΣΙΑ του Βλασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΧΑΡΙΛΑΟΣ του Παναγή,Ελλήνων Συνέλευσις,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΗΛΙΑΣ του Νικολάου,ΚΑΝΕΛΛΟΥ ΕΙΡΗΝΗ του Ηλία,ΜΑΛΛΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΡΛΑΜΠΑ ΕΛΕΝΗ του Κωνσταντίνου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΒΑΛΣΑΜΗ ΗΛΙΑΝΑ του Παύλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΕΛΕΝΗ του Βασιλείου,ΚΑΛΑΡΑΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΕΛΛΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΜΑΥΡΙΑΣ ΜΑΡΚΟΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΜΑΡΓΑΡΙΤΑ του Ιωάννη,ΠΑΠΑΧΡΗΣΤΟΥ ΜΙΧΑΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΜΑΡΕΤΣΟΥ ΜΑΡΙΑΝΑ του Λουδοβίκου,ΣΠΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα,Μ-Λ Κ.Κ.Ε.,ΣΠΥΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Παναγιώτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΕΤΑΣ ΑΘΑΝΑΣΙΟΣ του Φωτίου,ΓΙΑΚΙΜΤΣΟΥΚΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,ΚΑΛΛΙΑΝΙΩΤΗ ΠΕΤΡΟΥΛΑ του Γεωργίου,ΚΑΤΕΜΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Δημητρίου,Λαϊκή Ενότητα,ΡΙΣΚΑ ΜΑΡΙΑΝΘΗ (ΜΑΙΡΗ) του Δημητρίου,ΤΣΑΚΟΥΜΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΤΣΟΥΚΑΛΑΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΒΑΣΙΛΑΚΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Βασιλείου,ΒΟΥΖΟΥΝΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Μιλτιάδου,ΔΗΜΗΤΡΙΑΔΗ ΜΑΡΙΑ του Αναστασίου,ΚΑΝΕΛΛΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΚΟΣ) του Δημητρίου,ΚΥΡΙΑΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Σωτηρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΠΙΝΙΚΗ του Χαράλαμπου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Αναστασίου,ΚΑΨΟΥΡΟΥ ΜΑΡΙΑ του Ιωάννη,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΣΤΑΜΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΑΝΟΠΟΥΛΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,Ανεξάρτητοι Υποψήφιοι,ΘΕΟΔΟΣΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ του Μιλτιάδη
43 - Κορινθίας,165 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,570,394,12,2,14,380,115,14,24,14,15,17,21,171,21,74,30,20,41,55,12,0,0,7,0,0,16,8,7,1,0,2,1,14,3,1,1,0,2,5,4,0,1,1,0,0,5,0,0,0,0,0,0,0,0,14,3,3,0,0,6,2,0,0,0,0,0,3,0,0,0,1,2,1,2,0,13,4,1,3,2,3,2,1,0,0,0,0,10,3,0,0
43 - Κορινθίας,166 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,353,13,0,13,340,94,15,28,17,26,15,23,143,19,89,28,12,30,43,8,4,1,3,4,1,29,12,10,3,2,4,1,11,3,1,2,1,2,3,2,1,0,0,0,0,0,0,2,2,1,1,0,0,0,21,17,6,3,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,12,2,3,2,1,0,4,5,0,1,2,1,11,3,0,0
43 - Κορινθίας,167 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,357,359,17,8,25,334,86,8,26,18,17,19,22,136,32,56,17,23,58,37,21,6,5,7,4,3,22,11,9,3,0,5,2,10,4,1,1,0,5,2,5,3,1,3,0,0,0,0,1,1,1,0,0,0,0,15,10,5,6,0,4,1,0,0,0,0,0,2,1,1,0,0,2,1,0,1,24,7,1,8,5,1,6,4,1,1,0,3,6,5,0,0
43 - Κορινθίας,168 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,337,4,3,7,330,101,11,32,15,16,22,22,114,22,46,27,18,37,33,11,4,1,4,2,0,23,7,5,4,3,13,0,18,8,2,0,1,4,8,6,3,1,2,0,0,0,0,0,0,0,0,0,1,0,15,4,0,2,0,8,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,27,7,3,3,1,2,5,3,1,0,0,0,7,4,0,0
43 - Κορινθίας,169 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,339,1,2,3,336,92,11,24,13,23,10,21,164,18,74,24,37,83,58,7,1,1,2,0,3,21,9,8,2,1,7,1,14,0,0,1,4,6,3,8,0,2,1,0,0,1,0,0,0,0,0,0,1,1,10,1,2,1,0,4,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,9,2,0,0,3,1,1,1,1,0,0,1,5,2,0,0
43 - Κορινθίας,170 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,339,4,3,7,332,127,14,33,48,61,17,36,107,17,46,26,7,20,32,15,2,0,6,2,0,17,10,4,0,1,6,0,13,6,1,2,4,4,1,6,1,0,0,0,0,2,0,2,1,1,0,0,0,0,19,5,1,3,1,7,0,0,0,0,1,1,2,0,0,0,1,3,2,0,2,12,1,0,4,1,1,3,1,0,0,0,0,5,0,0,0
43 - Κορινθίας,171 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,440,262,4,6,10,252,92,21,25,18,17,18,23,56,7,30,14,3,10,8,12,5,3,5,1,3,19,6,4,4,0,9,1,30,2,4,2,14,15,3,4,0,0,0,2,0,0,0,3,1,2,2,1,0,0,12,3,2,0,1,3,1,1,1,0,1,0,1,0,0,0,0,2,2,0,2,11,1,1,3,2,0,1,2,0,0,0,0,4,2,0,0
43 - Κορινθίας,172 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,440,287,2,1,3,284,86,16,27,15,18,13,16,119,22,60,18,18,25,42,6,0,0,2,0,1,16,4,4,3,1,7,0,16,4,2,2,4,6,2,3,1,0,2,0,0,0,0,2,2,2,0,0,0,0,15,7,0,4,0,4,2,2,0,0,0,0,0,0,0,0,0,2,2,1,1,10,2,0,2,0,0,4,3,0,1,1,0,4,2,0,0
43 - Κορινθίας,173 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,440,277,6,0,6,271,80,16,23,20,17,9,19,100,10,46,9,5,19,39,11,2,0,5,2,0,18,4,7,1,1,10,0,24,1,1,1,11,15,4,6,1,1,1,0,0,0,0,2,1,1,0,0,0,0,19,10,2,1,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,1,3,1,1,0,1,0,3,1,0,0
43 - Κορινθίας,174 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,490,352,8,0,8,344,112,19,29,11,34,11,21,143,8,68,30,13,44,45,9,0,0,4,2,0,25,4,10,5,8,10,1,4,0,0,1,0,0,1,3,2,1,0,2,0,0,0,3,3,2,0,0,1,1,17,10,1,3,0,5,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,19,3,0,13,0,1,2,1,0,0,0,0,3,3,0,0
43 - Κορινθίας,175 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,490,335,4,4,8,327,105,15,36,7,37,37,27,119,25,64,19,13,31,44,15,8,3,5,5,2,32,8,8,7,6,17,1,7,2,5,0,0,0,5,3,1,2,0,0,0,1,0,1,1,1,0,0,0,0,12,4,5,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,5,2,13,1,2,3,1,0,0,0,1,6,2,0,0
43 - Κορινθίας,176 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,490,329,4,0,4,325,99,13,34,14,27,20,20,142,11,74,33,17,39,39,13,4,0,8,1,1,26,6,20,3,3,6,1,6,0,1,0,0,0,0,4,2,0,1,0,0,0,0,1,1,1,0,0,0,0,15,6,4,1,2,4,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,9,2,0,4,0,2,3,3,0,0,0,0,5,2,0,0
43 - Κορινθίας,177 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,480,318,4,2,6,312,101,21,24,12,32,20,24,123,18,63,22,15,42,30,17,6,3,10,4,1,18,9,9,2,1,6,1,16,6,4,2,3,3,2,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,12,6,3,2,1,2,0,1,0,0,0,0,2,1,0,0,1,1,0,1,0,12,4,0,4,1,0,2,2,0,1,0,1,4,2,0,0
43 - Κορινθίας,178 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,472,327,4,1,5,322,85,14,31,13,21,26,31,127,23,75,20,10,50,35,28,11,6,14,4,3,32,9,14,4,3,15,2,16,4,0,0,7,6,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,7,3,3,1,6,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,9,3,0,6,0,1,3,2,0,2,1,0,3,3,0,0
43 - Κορινθίας,179 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,466,305,2,2,4,301,122,0,0,0,0,0,0,108,0,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
43 - Κορινθίας,180 E.T. Δήμου Νεμέας,550,299,1,0,1,298,75,19,14,5,7,7,50,130,13,64,48,16,31,32,9,1,1,2,1,0,27,3,1,16,6,12,6,8,0,1,1,0,1,2,6,0,2,2,0,0,3,0,2,0,0,1,2,0,0,14,4,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,15,8,0,2,1,0,1,2,1,0,0,1,5,5,0,0
43 - Κορινθίας,181 E.T. Δήμου Νεμέας,550,329,4,2,6,323,105,12,16,1,19,11,67,136,27,63,28,10,38,46,7,0,1,4,0,3,34,3,2,18,4,15,16,7,0,1,0,0,0,1,1,0,0,1,0,0,1,1,3,0,2,0,3,0,0,8,5,2,3,0,4,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,16,10,2,4,1,0,3,0,0,0,0,0,2,0,0,0
43 - Κορινθίας,182 E.T. Δήμου Νεμέας,550,343,2,2,4,339,93,17,16,4,16,15,52,151,26,87,35,15,43,39,16,3,1,8,0,2,21,4,6,4,0,11,1,11,1,5,3,2,1,6,5,1,0,0,0,0,0,0,2,0,2,0,2,0,0,9,3,2,1,1,2,0,0,0,0,0,0,2,1,0,2,1,3,1,0,1,12,7,1,2,0,0,1,3,0,0,0,0,11,3,0,0
43 - Κορινθίας,183 E.T. Δήμου Νεμέας,550,318,4,4,8,310,116,13,18,2,16,16,47,113,13,60,29,7,30,41,5,0,1,4,1,0,29,2,8,12,5,11,4,7,1,0,2,0,0,2,4,3,0,2,0,0,1,1,3,1,2,0,2,0,0,12,5,5,2,1,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,10,5,0,2,1,0,0,1,1,0,1,0,5,0,0,0
43 - Κορινθίας,184 E.T. Δήμου Νεμέας,550,323,5,1,6,317,93,19,21,4,13,9,51,144,28,79,27,21,42,36,9,1,3,5,2,2,23,1,7,6,5,7,10,7,0,0,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,6,4,1,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,19,11,5,6,0,1,3,3,0,0,1,1,3,1,0,0
43 - Κορινθίας,185 E.T. Δήμου Νεμέας,560,325,1,1,2,323,95,17,23,1,23,6,48,130,29,65,40,11,32,43,12,0,0,9,0,3,25,5,5,9,1,13,2,12,1,6,0,0,0,5,2,2,1,1,0,0,1,0,5,2,2,1,4,0,0,14,8,3,1,1,5,1,1,1,0,0,0,6,0,2,3,3,0,0,0,0,17,11,2,6,1,1,5,0,0,0,0,0,3,1,0,0
43 - Κορινθίας,186 E.T. Δήμου Νεμέας,565,334,1,3,4,330,97,18,12,6,11,14,70,120,26,63,31,13,26,34,10,4,1,4,1,1,39,8,4,12,2,14,14,15,6,2,1,1,2,5,3,2,1,1,0,0,1,0,3,0,0,2,2,0,0,13,3,7,2,1,2,2,1,1,1,0,0,10,4,2,6,3,3,3,0,2,12,5,0,4,2,2,4,2,1,0,1,0,1,1,0,0
43 - Κορινθίας,187 E.T. Δήμου Νεμέας,342,177,2,3,5,172,54,16,12,5,7,10,4,75,27,29,21,7,22,22,8,1,0,7,1,0,18,3,1,6,1,4,4,1,0,1,0,0,0,1,2,0,1,1,0,0,1,0,2,0,1,0,2,0,0,7,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0
43 - Κορινθίας,188 E.T. Δήμου Νεμέας,310,192,6,1,7,185,43,7,10,2,2,6,19,94,15,33,30,12,29,35,8,3,1,5,1,1,13,2,2,1,0,4,3,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,1,1,1,1,1,0,0,0,5,2,1,2,1,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,6,5,0,0
43 - Κορινθίας,189 E.T. Δήμου Νεμέας,304,182,1,0,1,181,53,9,14,7,6,7,24,77,9,36,22,11,20,18,5,2,1,0,1,1,15,3,0,1,0,6,8,7,0,1,2,1,0,2,2,1,0,1,0,0,0,0,5,4,1,0,3,0,0,7,1,3,0,0,2,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43 - Κορινθίας,190 E.T. Δήμου Νεμέας,360,244,1,0,1,243,44,6,4,1,15,1,12,136,27,54,72,10,21,32,6,1,1,4,0,0,29,3,1,12,1,7,17,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,8,1,3,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,1,0,1,1,0,4,2,0,0
43 - Κορινθίας,191 E.T. Δήμου Νεμέας,357,216,0,1,1,215,54,6,2,2,21,8,26,128,23,50,60,19,17,28,5,4,0,3,0,0,17,4,0,11,2,8,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43 - Κορινθίας,192 E.T. Δήμου Νεμέας,183,81,0,0,0,81,17,10,1,1,3,0,8,55,13,26,11,8,16,21,0,0,0,0,0,0,3,1,1,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
43 - Κορινθίας,193 E.T. Δήμου Νεμέας,404,214,4,1,5,209,52,3,10,4,14,2,28,84,5,44,19,16,25,17,11,3,2,4,0,4,37,5,5,21,3,19,12,5,1,3,1,1,0,4,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,8,3,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,8,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0
43 - Κορινθίας,194 E.T. Δήμου Νεμέας,407,205,2,2,4,201,48,10,7,9,18,2,18,114,20,52,46,11,27,26,5,1,1,2,0,1,19,3,1,0,1,5,5,6,1,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0
43 - Κορινθίας,195 E.T. Δήμου Νεμέας,202,129,0,0,0,129,24,5,4,2,6,1,9,86,8,59,16,7,13,24,1,0,0,0,0,0,12,3,1,3,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43 - Κορινθίας,196 E.T. Δήμου Νεμέας,516,241,2,2,4,237,54,11,6,0,11,0,14,103,9,56,23,16,19,24,7,2,1,4,0,0,19,0,4,6,7,4,3,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,0,2,0,0,10,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,27,0,2,0,0,1,2,0,0,0,0,4,3,0,0
43 - Κορινθίας,197 E.T. Δήμου Νεμέας,370,245,5,2,7,238,58,20,7,2,10,0,26,131,29,73,19,32,44,23,5,2,2,2,0,0,24,1,0,11,4,12,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,2,0,0,5,2,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,6,1,1,0,1,0,0,0,0,0,0,2,1,0,0
43 - Κορινθίας,198 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,480,279,1,1,2,277,81,5,20,5,18,13,40,134,13,76,14,13,33,54,8,1,1,3,0,0,8,2,0,1,1,4,0,14,1,2,3,0,0,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,3,10,0,1,0,0,0,0,0,4,2,0,0
43 - Κορινθίας,199 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,470,255,2,2,4,251,72,4,18,2,5,18,45,112,9,80,17,12,18,55,6,1,2,2,0,1,14,2,0,8,1,9,2,17,2,5,2,0,1,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1,14,1,1,3,6,0,3,3,0,0,0,0,5,0,0,0
43 - Κορινθίας,200 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,475,282,3,3,6,276,77,4,21,2,7,11,43,129,11,74,23,15,8,60,12,3,2,1,0,3,20,4,0,5,2,10,3,13,4,1,6,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,8,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,1,4,0,0,1,0,0,1,0,2,1,0,0
43 - Κορινθίας,201 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,550,299,2,2,4,295,108,9,27,5,5,29,62,94,4,55,21,17,5,45,6,0,0,5,0,0,48,9,4,6,3,36,10,11,2,2,0,0,0,3,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,7,3,0,1,4,1,1,3,2,0,2,0,4,1,0,0
43 - Κορινθίας,202 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,545,315,0,1,1,314,106,8,14,3,5,18,51,131,6,77,19,19,9,48,1,0,1,1,0,0,41,5,4,4,3,19,4,8,1,3,0,1,0,4,4,1,0,0,0,0,1,1,1,1,0,0,0,0,0,5,2,1,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,7,1,0,2,2,0,1,3,3,0,2,0,3,0,0,0
43 - Κορινθίας,203 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,124,70,0,0,0,70,17,0,3,1,2,2,11,29,1,20,7,1,0,11,3,2,0,1,0,0,3,1,0,1,1,1,0,3,0,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,0,2,0,0,3,2,0,0,0,0,4,3,0,0
43 - Κορινθίας,204 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,225,165,3,2,5,160,45,1,4,2,0,17,29,81,12,36,27,4,2,43,1,0,0,0,0,0,14,1,3,1,5,10,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0
43 - Κορινθίας,205 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,410,255,1,3,4,251,64,5,14,3,9,10,34,126,24,56,24,23,7,50,8,2,4,3,0,3,19,2,2,3,2,11,3,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,9,1,0,2,6,1,0,3,1,1,0,0,5,0,0,0
43 - Κορινθίας,206 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,380,271,2,0,2,269,71,2,13,2,4,8,55,136,9,66,51,21,14,43,6,0,1,4,0,0,11,2,1,1,1,10,0,4,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,3,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,17,0,2,8,8,1,2,4,3,1,0,0,5,4,0,0
43 - Κορινθίας,207 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,380,243,2,1,3,240,55,1,15,1,1,7,45,115,9,62,28,26,15,46,6,1,2,4,0,0,15,1,4,2,0,10,4,9,0,2,1,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,13,1,0,0,8,0,1,5,3,0,0,0,2,0,0,0
43 - Κορινθίας,208 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,511,319,1,1,2,317,78,6,17,2,7,16,32,173,30,96,19,40,15,73,5,1,1,2,0,2,35,2,7,14,10,18,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,2,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,4,0,1,0,0,0,0,0,6,4,0,0
43 - Κορινθίας,209 E.T. Δήμου Ξυλοκάστρου - Ευρωστίνης,156,102,3,2,5,97,52,3,20,1,10,12,39,20,3,7,1,1,2,8,0,0,0,0,0,0,8,1,3,0,0,5,0,1,0,0,0,0,0,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,5,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
